Symbol	Ballooning_1_vs_control	Ballooning_1_vs_control_pvalue	Ballooning_2_vs_control	Ballooning_2_vs_control_pvalue
TXNRD3	-0.04619106	0.87466	-0.1040615	0.101
U2SURP	-0.06572736	0.87466	-0.0673568	0.314
STX18-AS1	-0.12332127	0.87466	0.0114403	0.944
LOC105378973	-0.10207202	0.87466	0.0268722	0.843
HIVEP1	-0.11123613	0.87466	-0.2204975	0.0297
PSMC2	0.07177208	0.87466	0.1583378	0.0129
NAMPT	-0.19372888	0.87466	-0.1631895	0.462
MKRN1	0.03648792	0.87466	-0.0651243	0.113
NECAB1	0.206809	0.87466	0.0743874	0.797
FRMD3	0.20204725	0.87466	0.0315881	0.897
FAS	0.1235471	0.87466	0.2614085	0.0187
NDUFC2-KCTD14	0.11883102	0.87466	0.0251326	0.858
MIA2-AS1	-0.09315571	0.87466	-0.2204306	0.0249
IGHV3-53	0.37957578	0.87466	0.2112645	0.643
SERF2-C15ORF63	0.1165185	0.87466	0.0404464	0.739
ANXA2	0.24929493	0.87466	0.7704044	0.00187
SMG1P2	-0.10033864	0.87466	0.0149808	0.919
WFDC1	0.26342969	0.87466	0.2175266	0.35
CDT1	0.18993706	0.87466	0.2926689	0.17
LOC100506974	-0.15777014	0.87466	-0.350493	0.0936
COL1A1	0.2489845	0.87466	0.7771696	0.00311
GNG7	-0.12064937	0.87466	-0.1991605	0.166
ZNF837	-0.14569763	0.87466	-0.4093103	0.00787
PLAC4	0.15917661	0.87466	0.2342424	0.2
RPS4X	0.14994865	0.87466	0.150207	0.326
GAB3	0.09851303	0.87466	0.2269698	0.0962
TRNS1	0.207571	0.87466	0.1764856	0.468
PTPRT	-0.27876234	0.87469	-0.4923095	0.0588
ADNP2	-0.06262791	0.8748	-0.0008682	0.991
CACTIN	-0.07034019	0.87491	-0.2148095	0.00145
AZGP1	-0.11338317	0.87506	-0.3468774	0.00785
LOC100507002	0.19999538	0.87506	0.5787669	0.00857
GPATCH4	0.08928952	0.87509	0.0638116	0.551
LOC105371629	-0.14676229	0.87509	0.0396805	0.834
SMYD2	0.08792888	0.87509	0.2101345	0.0144
LOC105373608	-0.06835564	0.87509	-0.2365954	0.00513
ZNF620	-0.06936883	0.87509	-0.1130714	0.131
PCBP4	0.15611609	0.87509	0.0606267	0.703
C4orf3	0.07169068	0.87509	0.0919093	0.164
HNRNPAB	0.0806898	0.87509	0.3438119	2.28e-05
TRIM39-RPP21	0.09082778	0.87509	-0.0214388	0.822
CNPY3-GNMT	-0.27944807	0.87509	-0.8728301	0.0028
LOC107986633	0.27823957	0.87509	0.135175	0.655
DOCK5	-0.08419054	0.87509	0.0358075	0.736
FAM110B	-0.08998671	0.87509	-0.177496	0.0649
KHDRBS3	0.08358845	0.87509	0.0879501	0.355
C9orf78	0.05115894	0.87509	0.026497	0.758
NKX6-2	0.08326171	0.87509	0.0799687	0.458
PHRF1	-0.0916957	0.87509	-0.228765	0.0201
JHY	0.20606885	0.87509	0.3802047	0.0927
ZNF605	-0.06647124	0.87509	-0.0819669	0.267
NOP10	0.1497914	0.87509	0.2160958	0.0761
DCUN1D3	-0.07849519	0.87509	0.0046264	0.97
PFN1	0.10185093	0.87509	0.1133425	0.159
NT5M	0.2283102	0.87509	-0.0580723	0.824
ABCA9-AS1	-0.1309847	0.87509	-0.1461487	0.328
EML2	0.11025145	0.87509	0.0691628	0.585
ZNF580	0.12307219	0.87509	0.096972	0.512
POLR3F	-0.06522956	0.87509	0.0715499	0.241
MAPK1	0.04014516	0.87509	0.1483049	6.36e-05
GTPBP6	-0.0851744	0.87509	-0.1789277	0.0314
SLFN13	0.14397432	0.87514	0.2965724	0.101
BRD2	-0.05194535	0.87515	-0.0690929	0.17
LMO7	-0.08104189	0.87515	-0.2215883	0.00201
WIPF1	0.10530416	0.8753	0.3704223	0.00358
RPL37A	0.15107201	0.8753	0.031277	0.859
UBE2W	-0.05647513	0.8756	0.0969133	0.0765
GOLGA8R	-0.09976099	0.8756	-0.2064724	0.104
TTK	0.28912192	0.87571	0.6789566	0.0137
LOC112268151	0.47342914	0.87591	0.6190408	0.299
STPG2	-0.12794117	0.87592	-0.3584208	0.0134
TSPAN5	-0.26081794	0.87592	-0.1999837	0.56
CLCN3	-0.04838446	0.87592	0.0198428	0.706
LOC107986556	-0.09144079	0.87592	-0.1689574	0.143
ZKSCAN8	-0.05706891	0.87592	-0.0460447	0.491
LOC101928570	0.2301047	0.87592	0.2574483	0.293
GRIK2	-0.41732716	0.87592	-1.1948612	0.0028
MICAL1	0.11183615	0.87592	0.244827	0.0855
RNY3	0.27444304	0.87592	-0.1568856	0.586
ZBTB7C	-0.22424521	0.87592	-0.0095075	0.979
ADGRE5	0.09851167	0.87592	0.2048639	0.129
LINC01521	-0.10710687	0.87592	-0.206795	0.104
WASH7P	0.07486737	0.87605	-0.0914937	0.316
SLC35E2B	-0.08098957	0.87605	-0.0667626	0.387
LOC112268219	0.11900778	0.87605	0.1543427	0.177
LINC02606	0.21944716	0.87605	0.3792336	0.182
PRDM2	-0.04473984	0.87605	0.0029965	0.97
SPEN	-0.09084013	0.87605	-0.1112086	0.262
CROCC	-0.1092071	0.87605	-0.2455306	0.0767
LOC112268222	-0.03532458	0.87605	0.0315656	0.526
LINC01355	-0.07079215	0.87605	-0.0498081	0.604
LOC105376860	0.10998092	0.87605	0.1946432	0.108
NCMAP	-0.16364954	0.87605	-0.4597093	0.0199
UBXN11	0.13315905	0.87605	0.1404575	0.266
TMEM222	0.08913734	0.87605	0.010202	0.93
PPP1R8	0.06260017	0.87605	0.0817931	0.196
SNHG12	0.09318556	0.87605	0.116047	0.215
TMEM39B	-0.07233063	0.87605	0.005671	0.956
TMEM234	0.06998159	0.87605	-0.0560044	0.583
EIF3I	0.08781675	0.87605	0.0127504	0.923
FNDC5	0.24731823	0.87605	0.0205288	0.962
TMEM35B	0.11295466	0.87605	0.0985242	0.345
LSM10	0.15766375	0.87605	0.1321344	0.464
RRAGC	0.06796283	0.87605	0.3356744	0.00114
PPT1	0.10088626	0.87605	0.3031986	0.00468
ST3GAL3	-0.08608146	0.87605	-0.1956485	0.0094
LOC101929609	0.11991527	0.87605	0.1317953	0.337
LOC107984952	0.16359049	0.87605	0.2152954	0.193
LOC105378694	-0.0975915	0.87605	-0.0684792	0.578
TSPAN1	0.13221729	0.87605	0.0680691	0.564
BTF3L4	0.06229175	0.87605	0.1525299	0.00763
COA7	0.06884383	0.87605	0.200536	0.0255
MROH7-TTC4	-0.1349366	0.87605	-0.3492262	0.00523
LOC107984965	-0.12814248	0.87605	-0.0484086	0.795
LEPROT	0.04425704	0.87605	0.1438312	0.00741
SERBP1	-0.04384125	0.87605	-0.0010867	0.986
RPF1	0.08698747	0.87605	0.2170884	0.00143
LOC105378863	-0.12269481	0.87605	-0.1156542	0.472
MFSD14A	-0.06627506	0.87605	0.1058736	0.199
RNPC3	-0.07864918	0.87605	-0.1402927	0.145
AMY2B	-0.11304566	0.87605	-0.2903499	0.0238
AMY1A	-0.13052574	0.87605	-0.264937	0.0552
AMY1C	-0.14074	0.87605	-0.2696528	0.0724
TMEM167B	0.05176853	0.87605	0.0935927	0.0579
AHCYL1	-0.03538114	0.87605	0.0129405	0.828
LAMTOR5-AS1	0.15382693	0.87605	0.0766124	0.702
LINC02884	0.23357276	0.87605	0.2300592	0.48
DCLRE1B	0.08072659	0.87605	0.1730812	0.0838
ZNF697	-0.06485429	0.87605	0.0797452	0.288
SRGAP2-AS1	-0.12988114	0.87605	0.0640972	0.719
H2AC19	0.13826851	0.87605	0.1962261	0.166
H4C15	0.15277773	0.87605	0.2526738	0.0902
BOLA1	0.12235138	0.87605	-0.0353376	0.781
VPS45	0.05061116	0.87605	0.1121251	0.0359
PSMB4	0.09382172	0.87605	0.0289679	0.799
RPS27	-0.12275727	0.87605	0.0485271	0.798
SHE	-0.0835356	0.87605	-0.207061	0.023
UBE2Q1-AS1	-0.08023308	0.87605	-0.0566795	0.573
DPM3	0.15512036	0.87605	0.1317911	0.488
GBA1	0.06999142	0.87605	0.1167726	0.0922
CD1C	0.20456931	0.87605	0.2455649	0.225
PIGM	-0.05763034	0.87605	0.0383387	0.577
IGSF8	-0.09335946	0.87605	-0.2371718	0.00829
DCAF8	-0.04549264	0.87605	-0.1194722	0.0153
ADAMTS4	0.20573981	0.87605	0.4077114	0.0274
HSPA6	0.17473977	0.87605	0.5232188	0.00899
ATF6	-0.05612834	0.87605	0.0590679	0.388
OLFML2B	0.25955545	0.87605	0.2344928	0.425
DPT	0.32910585	0.87605	0.5216721	0.145
ZBTB37	-0.05069172	0.87605	-0.1419876	0.00774
HMCN1	0.12407195	0.87605	0.1484255	0.273
ELF3	0.20210791	0.87605	0.185428	0.423
PTPN7	0.14987259	0.87605	0.2319192	0.156
PPP1R15B	-0.04248526	0.87605	0.0707316	0.198
CR1L	-0.18649713	0.87605	-0.1809525	0.418
PACC1	0.0887818	0.87605	0.1545058	0.112
ANGEL2	-0.03528098	0.87605	-0.0266075	0.617
KCTD3	-0.05435581	0.87605	-0.0389602	0.519
BPNT1	0.05261539	0.87605	0.0582472	0.291
TLR5	0.13110153	0.87605	0.4021538	0.0162
CNIH3	0.14054695	0.87605	0.2348	0.0943
SRP9	0.07171508	0.87605	0.1069686	0.0646
ARF1	0.06891618	0.87605	0.1040574	0.0963
LOC107985367	-0.08666916	0.87605	0.0450568	0.705
OPN3	-0.07942233	0.87605	-0.0322659	0.761
ALLC	-0.20006063	0.87605	-0.3592638	0.108
CYRIA	0.09553323	0.87605	0.1342263	0.25
LOC105373456	-0.09150247	0.87605	-0.01277	0.927
TP53I3	0.23819076	0.87605	0.4492604	0.0584
NCOA1	-0.04034336	0.87605	-0.0256042	0.636
GAREM2	-0.15531925	0.87605	-0.1502971	0.364
SPDYA	-0.09282142	0.87605	0.0456765	0.704
RASGRP3	0.10427518	0.87605	0.1374608	0.205
LINC01126	-0.14567901	0.87605	-0.3321268	0.0246
SLC3A1	-0.21934623	0.87605	-0.1032967	0.727
PREPL	-0.05600235	0.87605	-0.006989	0.93
EPCAM	0.39053993	0.87605	0.6230975	0.202
CLHC1	-0.11508429	0.87605	0.1214499	0.395
UGP2	0.08925985	0.87605	0.1432041	0.141
CNRIP1	0.13834153	0.87605	0.1707545	0.303
BMP10	-0.10366738	0.87605	-0.1914442	0.199
RAB11FIP5	0.11228858	0.87605	0.1189552	0.361
ALMS1P1	-0.15335093	0.87605	-0.1876084	0.274
TCF7L1	-0.14226618	0.87605	-0.1708002	0.367
PARTICL	0.11957302	0.87605	-0.0430605	0.806
CYTOR	0.2207179	0.87605	0.9524924	0.00137
LOC112268421	-0.2031867	0.87605	-0.2763801	0.277
LOC105373510	-0.11606819	0.87605	-0.102566	0.451
C2orf49	-0.04385726	0.87605	-0.003945	0.953
SLC20A1-DT	-0.18657998	0.87605	-0.3142113	0.168
LINC01191	0.14870924	0.87605	0.0564109	0.758
INSIG2	-0.13201261	0.87605	0.0120797	0.955
SCTR	-0.1979103	0.87605	-0.1601113	0.577
LOC105373623	-0.12790582	0.87605	-0.1787441	0.259
ZEB2-AS1	0.10360485	0.87605	0.1412161	0.308
PKP4	0.09036699	0.87605	0.0449938	0.666
ERICH2	-0.14356274	0.87605	-0.0458457	0.806
DYNC1I2	0.0585778	0.87605	0.1686715	0.0134
SP3	-0.0575853	0.87605	0.0455048	0.514
LINC01473	-0.08903616	0.87605	-0.1461481	0.17
GLS	0.1012086	0.87605	0.3508256	0.00682
LOC105373804	-0.20715416	0.87605	-0.0403563	0.909
HECW2	-0.10992386	0.87605	0.0530168	0.713
SATB2	0.11861018	0.87605	0.3135159	0.0109
ZDBF2	0.07975953	0.87605	0.0503419	0.656
LOC102724861	0.23140329	0.87605	0.2010984	0.496
ARPC2	0.08625138	0.87605	0.2244352	0.0065
MFF-DT	0.1759253	0.87605	0.0657105	0.73
COPS7B	-0.06194971	0.87605	-0.1154888	0.0923
NGEF	-0.09567181	0.87605	-0.1110321	0.304
USP40	-0.04829391	0.87605	-0.0962946	0.0723
UGT1A10	-0.11002615	0.87605	-0.1051607	0.476
UGT1A7	-0.10518479	0.87605	-0.0951944	0.507
UBE2F-SCLY	-0.08352985	0.87605	-0.0438621	0.721
LOC285097	-0.26203653	0.87605	-0.6430921	0.0168
LINC00852	-0.15549912	0.87605	-0.1369642	0.412
UBE2E2	-0.065917	0.87605	0.0171136	0.873
ENTPD3	-0.1549281	0.87605	-0.2315511	0.143
ZBTB47	-0.1073449	0.87605	0.0210019	0.903
LIMD1	-0.09369354	0.87605	-0.0871029	0.352
PLXNB1	-0.0898379	0.87605	-0.2796926	0.00134
COL7A1	0.17857704	0.87605	-0.0869431	0.691
CELSR3	0.19543678	0.87605	0.3525395	0.0589
MANF	0.21032867	0.87605	0.7333667	0.000205
IL17RB	-0.16388651	0.87605	-0.0956031	0.641
RPP14	-0.06041419	0.87605	-0.0809387	0.277
LOC107986015	-0.10152227	0.87605	-0.0921317	0.506
ADAMTS9-AS2	0.1581864	0.87605	0.0037707	0.99
ZNF717	-0.07511372	0.87605	-0.1200703	0.0849
ARL13B	0.06959435	0.87605	0.1127479	0.176
EPHA6	0.41223412	0.87605	0.4716821	0.304
NXPE3	-0.13578659	0.87605	0.0333877	0.864
NFKBIZ	-0.10698466	0.87605	-0.3231549	0.00339
B4GALT4	0.05687463	0.87605	-0.0008386	0.992
LOC102723696	-0.10069948	0.87605	-0.2986733	0.016
ALDH1L1-AS1	-0.17930563	0.87605	-0.2918144	0.155
CHCHD6	0.07689075	0.87605	0.0440925	0.652
PODXL2	-0.33289935	0.87605	-0.2783356	0.429
EPHB1	-0.24125951	0.87605	-0.341444	0.179
SLC25A36	0.15187324	0.87605	0.2226348	0.165
TM4SF1	0.13445545	0.87605	0.2962764	0.12
IGSF10	-0.23907802	0.87605	0.1887131	0.604
ARHGEF26	-0.1520385	0.87605	-0.18629	0.269
MLF1-DT	0.13031934	0.87605	0.3063335	0.0141
IQCJ-SCHIP1-AS1	-0.17730883	0.87605	-0.0264131	0.911
LOC101928351	-0.14808943	0.87605	-0.0453551	0.82
LOC107986153	-0.10418792	0.87605	-0.0903722	0.531
IL1RAP	-0.17741741	0.87605	-0.2274572	0.24
LINC00885	0.25005931	0.87605	0.1613257	0.632
ABCA11P	-0.08907708	0.87605	-0.0746766	0.451
CPLX1	-0.16739255	0.87605	-0.1700103	0.491
GAK	-0.0658721	0.87605	-0.0544458	0.281
MAEA	0.05648157	0.87605	0.1492965	0.00785
DOK7	0.20498261	0.87605	-0.0665085	0.793
MRFAP1	0.05038705	0.87605	0.0991074	0.095
LINC02482	0.19944167	0.87605	0.067035	0.814
AFAP1	0.10510875	0.87605	0.3388177	0.038
LOC105374524	-0.17566612	0.87605	-0.5766221	0.00691
ANAPC4	-0.06406957	0.87605	0.0556252	0.454
G3BP2	0.0578975	0.87605	0.1305894	0.0348
HNRNPD	-0.07862585	0.87605	0.0251493	0.798
COPS4	0.08559138	0.87605	0.1345382	0.0948
WDFY3-AS2	-0.16440856	0.87605	-0.3059172	0.1
FAM13A-AS1	-0.07582115	0.87605	-0.0973445	0.314
PDLIM5	-0.08893879	0.87605	-0.1744233	0.0381
H2AZ1	0.12467836	0.87605	0.3101563	0.00933
BLTP1	-0.05593669	0.87605	-0.0563956	0.332
PABPC4L	0.24007708	0.87605	0.4105113	0.134
IL15	0.11358865	0.87605	0.2178332	0.14
LOC105377509	-0.2159779	0.87605	0.0422136	0.899
HPF1	0.09047458	0.87605	0.1245663	0.145
CLDN24	-0.12262245	0.87605	-0.2470506	0.0751
SLED1	-0.15111938	0.87605	-0.3598707	0.0581
CEP72	-0.08115198	0.87605	-0.1928653	0.0522
ZDHHC11B	-0.22788191	0.87605	-0.7841306	0.00136
LOC105374612	0.14391201	0.87605	0.0751867	0.773
ANKRD33B	-0.2209318	0.87605	-0.1421247	0.573
SNORA105A	-0.10066706	0.87605	0.053984	0.63
MTMR12	-0.04419488	0.87605	-0.0223762	0.695
ZFR	-0.04734876	0.87605	-0.0099897	0.893
NUP155	-0.03826097	0.87605	-0.0062127	0.906
LINC02996	0.64585475	0.87605	0.2764836	0.776
ANXA2R-OT1	0.11277149	0.87605	0.0711789	0.635
ITGA2	-0.1413122	0.87605	-0.162865	0.359
IL6ST	-0.06396793	0.87605	0.0905673	0.17
LOC105379011	-0.18891308	0.87605	-0.1918038	0.47
F2RL2	-0.08138187	0.87605	-0.181436	0.158
JMY	-0.05335349	0.87605	0.0193187	0.84
FAM172A	-0.04890125	0.87605	-0.0442192	0.522
KIAA0825	-0.09948693	0.87605	-0.0392065	0.743
LINC01554	-0.42892291	0.87605	-0.8789385	0.0769
ELL2	-0.09054518	0.87605	-0.1553744	0.109
DMXL1	-0.04153643	0.87605	-0.0024107	0.974
LOC105379169	-0.18737573	0.87605	-0.2248304	0.343
FNIP1	-0.0661741	0.87605	0.0024817	0.981
RAD50	-0.04395449	0.87605	-0.0070251	0.905
SMAD5-AS1	0.10983276	0.87605	0.1215344	0.323
KIF20A	0.13409305	0.87605	0.5079592	0.00161
ETF1	0.0653871	0.87605	0.2712442	0.000368
SRA1	0.09830674	0.87605	0.2295146	0.00765
PCDHAC2	-0.29064885	0.87605	-0.0734031	0.858
PCDHB15	0.15587297	0.87605	0.1233061	0.566
PCDHGB4	-0.1768347	0.87605	-0.2283831	0.242
LOC107986458	-0.13123572	0.87605	-0.4246179	0.00901
TCOF1	-0.05132387	0.87605	-0.0864821	0.0678
RPS14	0.14990293	0.87605	-0.0246875	0.902
LOC105378230	-0.13451543	0.87605	0.0127829	0.944
GM2A	0.0851901	0.87605	0.1487945	0.046
SLC36A1	0.10862171	0.87605	0.2265118	0.133
MFAP3	0.04985438	0.87605	0.1755551	0.00184
MAT2B	0.07521085	0.87605	0.0301265	0.739
SIMC1	-0.07223065	0.87605	-0.0018774	0.988
TSPAN17	0.07886618	0.87605	0.153466	0.0796
RAB24	0.07431986	0.87605	-0.057829	0.487
MXD3	0.10204692	0.87605	0.0508803	0.677
FAM193B	0.08256542	0.87605	-0.0815184	0.358
RUFY1	-0.04537172	0.87605	-0.0378344	0.49
SERPINB9-AS1	-0.1355778	0.87605	0.233176	0.182
SNRNP48	-0.05884705	0.87605	-0.1155266	0.133
BMP6	-0.08228199	0.87605	0.0338712	0.742
BLOC1S5	0.05184613	0.87605	0.165442	0.00567
MBOAT1	0.14732234	0.87605	0.1389283	0.401
SCGN	0.26816057	0.87605	-0.0316911	0.935
H4C2	0.13305911	0.87605	0.105706	0.514
H2AC8	0.17647701	0.87605	0.4677732	0.0079
BTN3A1	0.08461227	0.87605	0.0437535	0.713
GUSBP2	-0.10277537	0.87605	-0.1277116	0.321
MDC1-AS1	-0.12082618	0.87605	-0.0866908	0.555
HLA-C	0.1436504	0.87605	0.2860574	0.0575
APOM	0.16318015	0.87605	0.0361753	0.858
CLIC1	0.13180632	0.87605	0.3273543	0.0138
GSTA1	0.12338714	0.87605	-0.0338442	0.875
ELOVL5	0.14125978	0.87605	0.2850562	0.0684
LOC101927189	0.17696652	0.87605	0.0107446	0.971
COL12A1	0.16655014	0.87605	0.2702827	0.107
C6orf163	-0.0977147	0.87605	-0.1893575	0.0551
SIM1	-0.56082798	0.87605	-0.185586	0.811
SOBP	0.15678967	0.87605	0.2180185	0.168
CDC40	-0.05025924	0.87605	0.0092513	0.896
LOC100287467	-0.10588613	0.87605	-0.2282769	0.0598
TBC1D32	-0.0872892	0.87605	0.0333307	0.807
HEY2	-0.10460913	0.87605	-0.2367427	0.0578
PTPRK	-0.05322861	0.87605	-0.1484719	0.000376
CCN2	-0.2667175	0.87605	-0.0166249	0.968
SNORA33	-0.11352195	0.87605	0.0717385	0.597
TCF21	0.1899304	0.87605	0.097785	0.698
IFNGR1	0.08826189	0.87605	0.3056813	0.00691
AIG1	-0.05750824	0.87605	-0.1305891	0.074
TAGAP	0.12667491	0.87605	0.3056993	0.0424
PACRG-AS3	-0.19261022	0.87605	-0.3668455	0.14
WDR27	-0.07567218	0.87605	-0.2392342	0.00416
PSMG3	0.11185911	0.87605	0.2687957	0.00691
MRM2	0.06131209	0.87605	0.0563712	0.503
LOC107986762	0.1528842	0.87605	0.2283407	0.169
AGMO	-0.07738035	0.87605	-0.1311323	0.167
LINC02981	0.26921342	0.87605	0.0591234	0.873
HIBADH	-0.0717069	0.87605	-0.1504495	0.0849
JAZF1	0.13607208	0.87605	0.4527732	0.000616
AQP1	0.29017564	0.87605	0.3122567	0.461
LOC102724723	-0.10757629	0.87605	-0.0595076	0.692
LOC105375242	-0.10929296	0.87605	-0.4161442	0.003
LOC107986787	0.15240937	0.87605	-0.4902442	0.0076
COA1	-0.04028935	0.87605	-0.0087972	0.877
POLM	0.07559662	0.87605	-0.0958685	0.248
AEBP1	0.25622248	0.87605	1.0082226	0.00215
COBL	-0.08092021	0.87605	-0.2149077	0.00536
LOC107986712	-0.14842739	0.87605	-0.0494361	0.833
LOC105375363	-0.09458204	0.87605	-0.0493602	0.702
LOC105375373	-0.15515538	0.87605	-0.2369378	0.317
CDK14	-0.05550581	0.87605	-0.098905	0.104
BET1	0.08458409	0.87605	0.1971377	0.00159
LOC107986823	-0.21760004	0.87605	-0.7687692	0.00132
CZ1P-ASNS	-0.15404147	0.87605	0.1459462	0.495
PLOD3	0.07839783	0.87605	0.2201778	0.00332
LOC105375433	-0.17604088	0.87605	-0.1892096	0.352
PIK3CG	0.14039093	0.87605	0.405763	0.0177
CADPS2	-0.0848364	0.87605	-0.0405607	0.727
RNF148	-0.18287789	0.87605	0.0996608	0.659
IRF5	0.12073484	0.87605	0.2111352	0.0357
COPG2IT1	-0.13309895	0.87605	-0.1231981	0.46
TMEM140	0.07124029	0.87605	0.0369165	0.732
TRIM24	-0.07316246	0.87605	-0.0940537	0.237
EPHA1-AS1	0.25050015	0.87605	0.3327717	0.272
LOC105375549	-0.09469049	0.87605	-0.1078126	0.401
LRRC61	-0.10238961	0.87605	-0.0840901	0.584
PRKAG2-AS2	-0.1487614	0.87605	-0.4718741	0.00236
PAXIP1	-0.06237533	0.87605	-0.0770458	0.258
ARHGEF10	0.11217583	0.87605	0.037842	0.845
ERI1	0.06608759	0.87605	0.1968583	0.00162
LOC105379230	0.17363877	0.87605	-0.6237643	0.0219
LOC102724881	-0.13799261	0.87605	-0.2705162	0.0703
DOK2	0.1781529	0.87605	0.213552	0.162
MIR6843	-0.15901037	0.87605	-0.4353709	0.00966
KIF13B	-0.06242014	0.87605	-0.0690006	0.254
GTF2E2	-0.05581819	0.87605	0.0489413	0.485
LOC102723701	0.08710941	0.87605	-0.1876014	0.0788
PCMTD1-DT	-0.12392357	0.87605	-0.2698781	0.0538
UBXN2B	-0.09862474	0.87605	0.0646599	0.644
SDCBP	0.08495126	0.87605	0.3455225	0.000158
CHD7	-0.05937071	0.87605	-0.0243452	0.756
RRS1-DT	-0.17313655	0.87605	-0.3599048	0.0406
ARFGEF1	-0.03948309	0.87605	-0.036358	0.421
LOC112268015	0.18955267	0.87605	0.4008641	0.117
PIP4P2	0.17392465	0.87605	0.4016298	0.0315
DPY19L4	-0.06342746	0.87605	-0.0054632	0.946
STK3	-0.08578711	0.87605	-0.1313272	0.106
TMEM74	0.18489086	0.87605	-0.0585776	0.825
RNF139	-0.05851551	0.87605	-0.0117643	0.89
LINC02964	0.22873071	0.87605	-0.2466885	0.421
LOC105375753	-0.10315358	0.87605	-0.2240595	0.106
PEG13	0.12429567	0.87605	-0.1565118	0.277
BOP1	-0.09233173	0.87605	-0.1319759	0.211
RCL1	-0.08710986	0.87605	-0.2157358	0.0289
TTC39B	-0.14610325	0.87605	0.0174436	0.933
ADAMTSL1	-0.2248229	0.87605	-0.3913218	0.129
MTAP	-0.0569235	0.87605	-0.0037191	0.957
AQP3	-0.12916277	0.87605	-0.2474842	0.0707
DCTN3	0.08323552	0.87605	-0.0087078	0.936
ALDH1B1	0.16050691	0.87605	0.3230452	0.0566
PGM5P2	0.08416889	0.87605	-0.0387977	0.732
LOC105376067	0.20756273	0.87605	-0.0022968	0.995
AQP7P1	0.16972623	0.87605	-0.0529805	0.846
PIP5K1B	0.26760558	0.87605	-0.0987509	0.734
APBA1	-0.13418797	0.87605	-0.0323481	0.872
LOC105376090	-0.08123777	0.87605	-0.0637635	0.57
LOC102724057	-0.12483118	0.87605	-0.3106921	0.0221
GAS1	0.16640638	0.87605	0.1838854	0.451
CDK20	-0.11519622	0.87605	0.0025011	0.989
SEMA4D	0.11592362	0.87605	0.1582618	0.267
SYK	0.12168534	0.87605	0.3504766	0.0163
ANKRD19P	-0.1332044	0.87605	0.0665572	0.648
ZNF510	-0.04083842	0.87605	-0.0759418	0.13
LOC105376171	0.14890155	0.87605	0.0446484	0.822
ANKS6	0.11391409	0.87605	0.0790753	0.634
LOC105376187	-0.19293026	0.87605	-0.4979479	0.0462
ATP6V1G1	0.09098778	0.87605	0.1629936	0.0516
TNFSF8	-0.18233859	0.87605	0.0793711	0.727
C5-OT1	-0.09009598	0.87605	-0.1210481	0.205
GAPVD1	-0.04021912	0.87605	0.0086436	0.874
CERCAM	0.22668886	0.87605	0.5504342	0.0658
ZDHHC12-DT	0.11265813	0.87605	0.0272801	0.847
NCS1	-0.15558317	0.87605	0.0346319	0.871
AIF1L	0.26813758	0.87605	0.1701538	0.531
LOC105376301	-0.17679607	0.87605	-0.1050103	0.675
DDX31	-0.06140962	0.87605	-0.0276368	0.741
RNU6ATAC	0.23451318	0.87605	-0.4011489	0.112
FCN1	0.21150716	0.87605	0.5128285	0.0106
LOC107987138	0.47616553	0.87605	0.6435545	0.256
TRAF2	-0.09780941	0.87605	0.0395112	0.753
ENTPD8	0.12591407	0.87605	-0.1868912	0.266
LINC02649	-0.18642231	0.87605	-0.1653997	0.478
CELF2	0.10750764	0.87605	0.2558219	0.0634
MCM10	0.3531468	0.87605	0.7633934	0.0249
FRMD4A	-0.05171073	0.87605	-0.0980739	0.0816
RPP38	0.05257801	0.87605	0.0491383	0.475
ITGA8	0.33916956	0.87605	0.3011196	0.426
VIM-AS1	0.15392158	0.87605	0.3228874	0.0717
COMMD3	0.08770126	0.87605	0.1137622	0.159
FAM238C	-0.2599833	0.87605	-0.4238484	0.0968
RAB18	0.05819008	0.87605	0.1224532	0.00787
SYT15-AS1	-0.20252076	0.87605	0.0503645	0.834
SHLD2P1	-0.092878	0.87605	-0.0182424	0.9
SHLD2P3	-0.10080125	0.87605	-0.0266708	0.858
VSTM4	-0.14595106	0.87605	0.1740081	0.426
TIMM23B	-0.05046532	0.87605	-0.0082833	0.913
LOC112268061	0.14819425	0.87605	0.2157684	0.274
OIT3	0.09934657	0.87605	0.0272615	0.876
SNORA11F	-0.15772857	0.87605	-0.3609842	0.0308
ANXA7	0.0596322	0.87605	0.0727233	0.26
ZSWIM8	-0.08165338	0.87605	-0.1915513	0.00963
ZSWIM8-AS1	-0.0752677	0.87605	-0.1659456	0.0671
AP3M1	0.0430514	0.87605	0.1409775	0.00199
ZCCHC24	-0.08215185	0.87605	-0.1972384	0.00785
GRID1	0.38620515	0.87605	0.6405509	0.184
ACTA2-AS1	-0.33374918	0.87605	0.0503823	0.922
ACTA2	-0.35014376	0.87605	0.0251308	0.965
CYP2C9	0.06291683	0.87605	-0.0247067	0.872
PI4K2A	0.08721585	0.87605	0.3097881	0.000171
SUFU	0.07167496	0.87605	0.1232366	0.239
LOC107984265	-0.15696362	0.87605	-0.0004256	0.999
PDCD4-AS1	0.15571391	0.87605	0.2365147	0.18
ACSL5	-0.11967112	0.87605	-0.3011215	0.0286
SFXN4	0.08636516	0.87605	0.0797763	0.416
PLEKHA1	-0.06115585	0.87605	0.0278053	0.684
EEF1AKMT2	-0.06358658	0.87605	-0.0283089	0.679
