Symbol	Inflammation_1_v_Control	Inflammation_1_v_Control_pvalue	Inflammation_2_v_Control	Inflammation_2_v_Control_pvalue
STRN	-0.09489336	0.237	-0.05379076	0.735
ZNF429	-0.20649137	0.237	-0.41421815	0.0243
LOC107985917	-0.17512994	0.238	-0.21637814	0.316
ATP6V1E2	0.3206729	0.238	0.27172027	0.245
MAP4	0.40117922	0.238	0.32938307	0.0923
LUC7L2	-0.15150388	0.238	-0.29048989	0.026
NBPF20	0.20143636	0.238	0.14797318	0.463
LOC105374521	-0.34259671	0.238	-0.82512611	0.0289
LINC02275	-0.47689948	0.238	-0.72014396	0.159
GTF2IRD2B	-0.15635054	0.238	-0.30639919	0.0256
RND2	-0.72985282	0.238	-1.4956894	0.00644
ATP5F1A	0.16879906	0.238	0.16430844	0.258
CEP120	-0.14073256	0.238	-0.28015333	0.0262
DERL1	0.13901637	0.238	0.1573609	0.234
ALDH1A2-AS1	0.7907112	0.238	0.44315271	0.447
FLOT2	0.17136243	0.238	0.23731254	0.16
DENND6B	0.28350704	0.238	0.448571	0.126
CKLF	0.29751686	0.238	0.61769447	0.0171
TEFM	0.13757612	0.238	0.15529334	0.234
ANXA9	-0.177072	0.238	-0.30508657	0.127
INPP4A	0.11196524	0.238	0.21876221	0.0213
SPAG16-DT	-0.62606315	0.238		
NOP14	-0.14852832	0.238	-0.21141024	0.202
SAR1B	0.15176077	0.238	0.01723163	0.946
LOC105377673	0.75619623	0.238	0.57328788	0.311
SESN1	0.2519442	0.238	0.36376402	0.048
LOC105375733	0.86836183	0.238		
ANKRD16	-0.17356706	0.238	-0.37421125	0.0418
LOC107984485	-0.17253819	0.238	-0.21448675	0.173
FAM186A	-0.25400682	0.238	-0.35204632	0.164
LOC107984670	0.55739602	0.238	0.36445534	0.42
LINC00672	0.43918154	0.238	0.58407479	0.0443
LOC107985130	-0.25909562	0.238	-0.38417907	0.135
S1PR2	0.4063992	0.238	0.57858997	0.174
NUP62	0.28235337	0.238	0.38647105	0.13
ABCA9	-0.25063651	0.238	-0.31709041	0.175
GMPPA	0.21043317	0.238	0.28944413	0.226
TRIM36	0.33577014	0.238	0.54741997	0.0788
SLC1A2	-0.70256106	0.238	-0.38685042	0.575
SLC11A1	0.29887526	0.238	0.54600326	0.148
ABCF1	0.11734092	0.239	0.11235424	0.266
POLR2M	-0.12464981	0.239	-0.13119332	0.386
SNX12	0.13593302	0.239	0.21372366	0.15
ESRP2	-0.14673324	0.239	-0.26168349	0.17
H4C1	0.58327294	0.239	1.04503631	0.00919
PDRG1	0.25815642	0.239	0.38302081	0.0632
CARD8-AS1	0.34450624	0.239	0.5555274	0.0856
E2F5	0.26147573	0.239	0.30227036	0.201
FMO5	-0.28078596	0.239	-0.55192307	0.0173
GPX1	0.31029347	0.239	0.43870734	0.0745
PLG	-0.15376442	0.239	-0.32924568	0.134
DCAF13	0.16618639	0.239	0.3195325	0.102
LOC107987063	-0.24206289	0.239	-0.36296086	0.12
LOC105378340	-0.59442783	0.239	-1.3525514	0.0276
BLOC1S2	0.21842542	0.239	0.34399513	0.0674
RANGRF	0.40433081	0.239	0.66472378	0.0168
SNHG28	0.48403839	0.239	1.19596838	0.0379
MYL12-AS1	0.30942119	0.239	0.47481059	0.022
CA14	-0.26983308	0.239	-0.36012074	0.125
ABAT	-0.2534257	0.239	-0.56137679	0.0205
NPHP4	-0.49570371	0.24	-0.49027316	0.278
JAZF1-AS1	0.55475798	0.24		
ABCB1	0.25376478	0.24	0.46141991	0.0319
SMIM5	-0.30494222	0.24	-0.46449266	0.134
ADAMTS10	0.36154269	0.24	0.5233197	0.184
CCNDBP1	0.13319949	0.24	0.23206476	0.113
LOC374443	0.25607131	0.24	0.57916839	0.0419
GSDMD	0.21291503	0.24	0.1389853	0.615
EFCAB11	0.25403856	0.24	0.35168055	0.137
LOC105375028	-0.35152505	0.24	-0.58322814	0.104
LOC107985182	-0.18318622	0.24	-0.33094866	0.111
LBX2	-0.24686618	0.241	-0.4765364	0.0678
PTRH2	0.1642471	0.241	0.21253725	0.11
LOC107985946	-0.19791646	0.241	-0.25485841	0.229
DNAJB6	0.22870157	0.241	0.3419895	0.0153
LOC105371754	-0.32504967	0.241	0.06117821	0.907
IGKV3D-15	0.88817681	0.241	1.65204882	0.0276
ATP6V1F	0.30449623	0.241	0.57690861	0.0264
PPFIBP2	-0.16550346	0.241	-0.22577894	0.0852
STRCP1	-0.4526046	0.241	-0.87342277	0.0378
AGA	0.18361011	0.241	0.28593704	0.112
FBXW11	0.10774882	0.241	0.13038074	0.175
B3GLCT	0.22814306	0.241	0.18555978	0.323
PRXL2B	0.29139765	0.241	0.4223712	0.093
HPS6	0.14852776	0.241	0.13924083	0.535
R3HDM1	0.11799503	0.242	0.0823171	0.574
VIPR1	-0.22535477	0.242	-0.40564968	0.389
RTCB	0.18698503	0.242	0.31633856	0.0615
HSP90B2P	-0.16136332	0.242	-0.25438724	0.242
ITGA9	0.15000471	0.242	0.3832891	0.0143
PPP2R1A	0.13938065	0.242	0.26236582	0.112
TNNI3K	-0.41798222	0.242	-0.58738629	0.0849
LOC105374836	0.61880965	0.242	1.31624097	0.0306
LOC101928384	-0.3881483	0.242	-0.63985534	0.18
KCTD10	0.17164643	0.242	0.51651486	0.0779
TRT-CGT4-1	0.43486796	0.242	0.78904439	0.155
RNF215	0.19711244	0.242	0.13195592	0.455
LOC107985692	-0.25215294	0.242	-0.29963472	0.246
SH3BGRL3	0.30496275	0.242	0.65524781	0.038
KLHL6-AS1	0.6238891	0.242	0.60968075	0.223
GIT1	0.14411986	0.242	0.17186423	0.408
UBQLN4	0.15570208	0.242	0.1901337	0.254
ACTG2	-1.79412465	0.242		
CFLAR	-0.10274605	0.242	-0.12714368	0.156
TARS1	0.1790715	0.242	0.31179036	0.0602
NCKAP5L	0.23052601	0.242	0.32336627	0.16
GAS7	0.35887767	0.242	0.77959167	0.0839
LOC105374975	-0.94269001	0.242	-1.26289362	0.0758
GRAMD1A	0.22311955	0.242	0.30654861	0.259
H1-0	0.2315082	0.242	0.02652083	0.938
ANGPTL1	-0.20795249	0.242	-0.18844476	0.477
LOC105376956	-0.3995023	0.242	-0.34366667	0.353
ADAMTS9-AS1	0.36491682	0.242	0.29380377	0.414
BANF1	0.26382864	0.242	0.39130796	0.0338
NFYC	-0.1009471	0.243	-0.1693981	0.112
ATP5PB	0.16944336	0.243	0.21116994	0.164
FCRL1	0.46069288	0.243	0.93510902	0.176
B3GALT2	-0.25665555	0.243	-0.17358764	0.52
HPCAL1	-0.18016902	0.243	-0.23709809	0.15
IGKV1-6	0.88795224	0.243	1.17764991	0.145
KIF1A	-0.55382526	0.243	-1.05341808	0.0989
PRKAR2A	0.11495807	0.243	0.07311494	0.587
UGT3A2	0.62944168	0.243	0.70113234	0.0721
SSC4D	0.49718739	0.243	0.06582771	0.905
ASAH1	0.20142353	0.243	0.32711303	0.11
SLC26A7	-0.53126643	0.243	-0.46473459	0.43
LOC102724883	-0.32862268	0.243	-0.04161686	0.915
HPS5	0.48550397	0.243	0.7657211	0.0334
LUM	0.6103613	0.243	1.95727797	0.0202
MIR624	-0.5070834	0.243		
CDKL1	-0.15412852	0.243	-0.38270828	0.00717
ACOT2	0.36902135	0.243	0.29516655	0.448
ATP6V0C	0.21798081	0.243	0.30413155	0.0999
TANGO6	-0.19441184	0.243	-0.41299996	0.0272
CDRT15P1	-0.41867099	0.243	-0.58649567	0.115
FAM83G	0.39007193	0.243	0.49883622	0.127
CCL4	0.50877106	0.243	0.98576619	0.0195
LINC02210-CRHR1	-0.31898016	0.243	-0.29209289	0.352
ASF1B	0.51348139	0.243	0.97693436	0.0243
NIBAN3	0.3701345	0.243	0.51520893	0.196
SLC7A2	-0.28924307	0.243	-0.45989497	0.134
LOC107985409	0.68883515	0.243		
PFKFB2	0.31984269	0.243	0.31621515	0.0247
MARCKS	0.29588984	0.243	0.80426135	0.0544
SELENON	0.26326738	0.243	0.44608188	0.13
LOC105378748	-0.35905508	0.243	-0.54662207	0.132
LOC101927252	-0.22817938	0.243	-0.37869336	0.0877
LOC105373794	-0.44504598	0.243	-0.58518906	0.108
SNORA7B	0.35168601	0.243	0.87993546	0.0309
LOC105377276	-0.61440121	0.243	-0.85475233	0.105
FRG1-DT	-0.43079363	0.243	-0.82188061	0.0273
ACOT12	0.31243688	0.243	0.36245134	0.209
LOC101927190	-0.21170963	0.243	-0.35988672	0.0452
ADAMTS2	0.26968163	0.243	0.9904704	0.0256
LOC107986613	-0.37964107	0.243	-0.56658287	0.125
FAM205A	-0.48412126	0.243	-0.92599993	0.0302
SIT1	0.59992822	0.243	1.1164587	0.0523
MGMT	-0.22153289	0.243	-0.30495626	0.242
LINC02728	-0.29320571	0.243	-0.34347811	0.212
ARHGAP32	-0.161673	0.243	-0.33625151	0.0482
HLF	-0.20676466	0.243	-0.35321545	0.229
ZNF8	0.20241731	0.243	0.25111337	0.119
VPS26C	0.11366826	0.243	0.11968402	0.237
LOC105373347	0.5250727	0.243	0.21636861	0.616
APOBEC3C	0.34240818	0.243	0.81133439	0.0138
PRIMA1	-0.8007842	0.243		
MTOR-AS1	0.27500015	0.243	0.23445648	0.284
ARPIN	0.15058307	0.243	0.14000851	0.311
RORC	-0.29219534	0.243	-0.44123981	0.265
POU2F1	-0.14099799	0.243	-0.27357517	0.0256
IL1RAP	-0.34876456	0.243	-0.5328679	0.0999
BTN2A2	0.20804667	0.243	0.41769366	0.0615
SPIDR	-0.11399704	0.243	-0.13981635	0.225
TMEM263	0.1922606	0.243	0.33461298	0.0393
IGHV3-20	0.89783461	0.243	1.26406306	0.129
NLRP2	0.78241234	0.243	0.83326992	0.274
MCU	0.21053811	0.243	0.29211086	0.121
WDR35	-0.16541373	0.243	-0.03129868	0.907
LY6E	-0.33329515	0.243	-0.41078753	0.168
MICALL1	0.19458208	0.243	0.26128271	0.251
ISG15	0.41028686	0.244	0.63324719	0.105
CYP27B1	0.71405332	0.244		
PPM1J	0.71236076	0.244	0.42064312	0.43
SAMD9	0.34017538	0.244	0.53042136	0.06
MCOLN2	0.46668248	0.244	0.89781054	0.0895
LOC100507006	-0.41082474	0.244	-0.53490329	0.0736
LINC01537	-0.30103525	0.244	-0.51948965	0.0436
MYH7	2.84019772	0.244		
KLHDC2	-0.10508511	0.244	-0.20888818	0.154
WSCD1	0.2718066	0.244	0.25682492	0.399
OARD1	-0.10249259	0.244	-0.19175847	0.132
CYP7A1	0.98854344	0.244	0.45220008	0.717
SLC1A2-AS1	-0.62773533	0.245	-0.72215495	0.267
UCP2	0.34692944	0.245	0.76170815	0.0617
LOC105369515	-0.44364771	0.245	-0.37726351	0.45
PREX1	0.1902732	0.245	0.4230921	0.059
PDIA3P1	0.14617687	0.245	0.2243301	0.0839
NDUFS2	0.14149285	0.245	0.10612907	0.549
LOC100288570	0.54123782	0.245	0.46337074	0.347
ARL6IP5	0.19680963	0.245	0.39909964	0.0344
TRBC1	0.40095902	0.245	1.01821225	0.0184
LINC02648	1.0900593	0.245		
LOXL2	0.3638734	0.245	0.53932372	0.0466
ZNF283	-0.26756347	0.245	-0.35573722	0.112
TSSK3	-0.15830061	0.245	-0.26310029	0.137
LOC100288162	-0.28295069	0.245	-0.59218508	0.06
SMARCC2	-0.10070318	0.245	-0.12631233	0.331
TRR-CCT3-1	0.58100364	0.245	1.08442343	0.059
TTC30A	-0.16200438	0.245	-0.19289311	0.246
DHX9	0.10446814	0.246	0.20233776	0.0344
ZNF197	-0.10812512	0.246	-0.18670129	0.0218
MYL6	0.19690945	0.246	0.36351692	0.0439
TAAR3P	-0.63693973	0.246	-0.61196978	0.293
FAM149B1	-0.0841029	0.246	-0.0932254	0.361
SLC28A2	-0.38233831	0.246	-0.49001881	0.137
SNORD47	0.3067072	0.246	0.32361821	0.349
LOC105379174	-0.64323728	0.246	-0.70372423	0.267
PCDHGA8	-0.42731598	0.246	-0.51742119	0.0996
CLGN	0.8270115	0.246	0.41768689	0.565
LOC102724720	-0.45943293	0.246	-0.73609291	0.0718
FOXQ1	-0.77821718	0.246		
LOC101927610	-0.20681891	0.246	-0.30483765	0.146
LOC112267987	0.54108189	0.246		
ZNF33BP1	-0.31165025	0.246	-0.55522818	0.0493
UNC5B	0.38521992	0.246	0.71349605	0.0331
FBXL14	-0.17569296	0.246	-0.24708112	0.262
VAPA	0.11209232	0.246	0.12755687	0.32
NSF	0.16125106	0.246	0.25296735	0.125
RNF207	0.18762535	0.246	0.08172936	0.681
NECAP2	0.13871255	0.247	0.27550389	0.0895
RNF220	0.11457306	0.247	0.12600149	0.37
MED28	-0.1190228	0.247	-0.20962216	0.0195
POLR2B	0.09755776	0.247	0.33371422	0.13
LOC101927012	-0.76137657	0.247	-1.06686272	0.0848
H2BC17	0.58314607	0.247	0.89738074	0.0578
C1GALT1	-0.12074687	0.247	-0.24801958	0.0994
ANLN	0.60879775	0.247	1.22812911	0.0393
MBLAC1	-0.31110111	0.247	-0.30466325	0.328
SMCO4	0.20237967	0.247	0.22047604	0.219
SLCO1A2	-0.26487398	0.247	-0.4093952	0.0911
KPNA3	0.20918026	0.247	0.26686745	0.161
CBX6	0.19976472	0.247	0.33206374	0.116
RHOXF1-AS1	-0.40926175	0.247	-0.70182691	0.186
PPIE	-0.10247869	0.247	-0.15862075	0.145
CMTR2	-0.13705654	0.247	-0.09761204	0.513
ZNF397	-0.10030462	0.247	-0.12549736	0.204
APOO	0.24463113	0.247	0.34584032	0.101
MBD5	-0.13274573	0.247	-0.00721714	0.976
ANKZF1	-0.16287761	0.247	-0.29417631	0.0302
TPTE2P6	0.67516703	0.247		
ZNF507	-0.14453082	0.247	-0.17558065	0.309
GCDH	-0.32523066	0.247	-0.40794419	0.235
GJA9-MYCBP	0.1337308	0.247	0.24832845	0.0584
DSG1-AS1	-0.32818493	0.247	-0.44368231	0.188
CECR2	-0.31027509	0.248	-0.56779938	0.028
NAE1	0.12565362	0.248	0.12560807	0.488
LOC105374471	-0.48042369	0.248		
DIS3	-0.10837788	0.248	-0.11725196	0.354
MIR325HG	0.96015245	0.248		
LOC107986470	-0.70583337	0.248	-0.67606953	0.344
CCT2	0.14915277	0.248	0.34538939	0.0206
IL2RG	0.33454502	0.248	0.72759827	0.0354
HSFX2	-0.33092752	0.248	-0.34511528	0.312
NCAPH	0.56455025	0.248	0.93708879	0.0748
PDE8A	-0.11646543	0.248	-0.23204709	0.0835
MAP1LC3A	0.341027	0.248	0.47395113	0.231
ANXA11	0.12074517	0.248	0.23826604	0.193
POLR2J2	0.2972536	0.248	0.29669616	0.32
DDIAS	0.38714138	0.248	0.58194652	0.107
HIF1A	0.171039	0.248	0.43222174	0.112
USP31	-0.1735749	0.248	-0.23811406	0.0921
TSPYL4	-0.16591432	0.248	-0.16080621	0.242
USP28	0.15527636	0.248	0.08582309	0.413
CBLN3	0.75992479	0.248	0.75038488	0.292
YTHDC1	-0.09327789	0.248	-0.12035962	0.201
SRP19	0.17606577	0.248	0.32259039	0.0238
DHX33	0.19954329	0.248	0.1096738	0.548
WNK4	-0.30053384	0.248	-0.27479688	0.349
FOXK2	0.16252142	0.248	0.17244242	0.265
LOC107985149	-0.42159683	0.248	-0.59349403	0.11
LINC01572	0.55430074	0.248	0.36154718	0.393
SEC31A	0.11250242	0.248	0.14056758	0.0706
TRMT11	-0.1375072	0.248	-0.15674904	0.298
LOC105375217	-0.45394317	0.248	-0.1730062	0.706
LOC107986743	-0.49723041	0.248	-0.77084735	0.159
SLC25A3	0.14959675	0.248	0.19235282	0.199
WDR18	-0.25200066	0.248	-0.30427426	0.294
METTL1	0.29480979	0.248	0.51159139	0.0607
LOC105374181	-0.33522786	0.248	-0.14097048	0.718
FAM234A	0.13874031	0.248	0.22112473	0.108
LOC107985708	-0.44408441	0.248	-0.7780186	0.0145
NPHP3-ACAD11	-0.14446371	0.248	-0.19700215	0.374
TBL1X	-0.18163074	0.248	-0.29546172	0.14
LY6G5B	-0.23818997	0.249	-0.38287147	0.14
ZNF485	-0.14995481	0.249	-0.15310075	0.423
HOGA1	-0.29069538	0.249	-0.34157638	0.319
MICAL2	-0.24460155	0.249	-0.1161994	0.687
ABCC6P1	-0.18856139	0.249	-0.4072478	0.0995
CEP41	0.18820764	0.249	0.35192872	0.159
JAML	0.31469861	0.249	0.69859078	0.0671
FAM87B	-0.25499655	0.249	-0.59571437	0.0125
CEP97	0.13501827	0.249	0.20917732	0.214
LOC105374209	-0.23602017	0.249	-0.37601648	0.141
ZNF696	-0.15379973	0.249	-0.28124188	0.132
ANXA2P2	0.49464183	0.249	1.10417642	0.0482
OAZ2	0.19763465	0.249	0.19918752	0.238
GALNT1	0.12712638	0.249	0.27609776	0.0951
ELF3	0.39850158	0.249	0.79906532	0.0702
RNF144B	-0.19856557	0.249	-0.36194234	0.0592
LOC101929732	-0.31751788	0.249	-0.29795999	0.384
SAMM50	0.15965464	0.249	0.21225821	0.175
F11	-0.19817788	0.25	-0.37650619	0.166
TRX-CAT1-1	0.79868687	0.25		
EPAS1	-0.14165162	0.25	-0.15639688	0.307
SEC23IP	0.09465011	0.25	0.15386884	0.145
LOC112268084	0.38969206	0.25	0.72714748	0.0354
ZNF470-DT	-0.33863248	0.25	-0.22800264	0.506
TRPS1	0.33545224	0.25	0.54612659	0.0581
PPP2R5A	-0.13478867	0.251	-0.16924639	0.103
GRK1	-0.45142556	0.251	-0.39744358	0.409
CLIC1	0.25430763	0.251	0.59376376	0.0729
GABPB1-AS1	-0.20080805	0.251	-0.35432031	0.0793
COX5A	0.27442271	0.251	0.30496894	0.104
ACSM2A	-0.16376952	0.251	-0.33210293	0.274
TMEM9B	0.19406127	0.251	0.33426139	0.0513
LOC105369372	-0.37987001	0.251	-0.43323362	0.378
OAS1	0.49694865	0.251	0.45384107	0.206
L3MBTL2	0.12108953	0.251	0.17568462	0.248
USP40	-0.11574752	0.251	-0.19455241	0.0211
LOC107987083	-0.48808277	0.251	-0.40432041	0.48
GTF2IP20	-0.18508312	0.251	-0.38509984	0.0847
LOC105374976	-0.91598779	0.251	-1.22303224	0.0999
TNFAIP3	0.2085695	0.251	0.4112092	0.107
DNLZ	0.55393769	0.251	0.29165295	0.459
TUBBP5	1.24040477	0.251		
LILRB4	0.39602368	0.251	0.59408944	0.0948
SLC66A3	0.12463288	0.252	0.23871673	0.12
ELAVL4	0.71255741	0.252		
PSD4	-0.176768	0.252	-0.20028301	0.328
LOC105377457	-0.64938478	0.252	-0.70760278	0.172
TMEM171	0.41491738	0.252	0.5092845	0.193
GSK3A	0.13342953	0.252	0.15965917	0.307
HESX1	-0.26064324	0.252	-0.30574199	0.294
LOC105377730	0.61639755	0.252		
CLTB	0.18718759	0.252	0.2659947	0.144
ETV7	0.57834515	0.252	0.86098663	0.0604
TCIRG1	0.17895927	0.252	0.23640851	0.279
LOC100289511	-0.13956491	0.252	-0.2142319	0.168
NCF2	0.28617942	0.252	0.80755086	0.0613
TOMM70	-0.0942802	0.252	-0.18936326	0.165
IGF2	-0.25387517	0.252	-0.46179229	0.137
LOC105370103	-0.34717886	0.252	-0.48527002	0.292
RUNDC1	0.12761529	0.252	0.19587398	0.0904
WARS2	0.14259011	0.252	0.21944779	0.0834
CKAP2L	0.55988759	0.252	1.01385628	0.103
STAG3L1	-0.17545994	0.252	-0.25920139	0.24
NFKB2	0.20667389	0.252	0.30389267	0.168
PLRG1	0.08252617	0.252	0.17660949	0.0678
UBE2G1	0.14946815	0.252	0.05805323	0.632
ZNF660	-0.24815923	0.252	-0.05055155	0.89
GXYLT2	0.81787319	0.252	1.60020341	0.0211
VPS8	0.13878608	0.252	0.18493305	0.0978
COL23A1	0.42496772	0.252	0.41230597	0.325
ATG5	0.09626698	0.252	0.0988538	0.47
ZNF483	-0.15633237	0.252	-0.30491402	0.0558
PIH1D2	0.23706106	0.252	0.33768637	0.103
SGTA	0.1274436	0.252	0.10494291	0.56
PLCG1	0.14579951	0.252	0.11526364	0.432
INS-IGF2	-0.25325114	0.253	-0.46087434	0.138
HS1BP3	0.17566685	0.253	0.30014389	0.0591
CKAP4	0.16066258	0.253	0.30727989	0.0693
TRIM13	-0.1076802	0.253	-0.10741847	0.434
VWA8	-0.12157405	0.253	-0.22604328	0.171
ZNF644	-0.09602852	0.253	-0.10217711	0.441
EMILIN1	0.21826916	0.253	0.4042901	0.127
PLGLA	-0.22208406	0.253	-0.36328446	0.0741
ACMSD	-0.22289363	0.253	-0.42716869	0.0793
CSF1R	0.32273722	0.253	0.54831582	0.108
CLK4	-0.13511784	0.253	-0.20521397	0.121
LOC105374985	0.6039341	0.253	0.97736674	0.0869
BRD7P3	0.32614335	0.253	0.39126011	0.163
LOC729732	-0.32593661	0.253	-0.69253635	0.00192
NFX1	-0.09600796	0.253	-0.12065992	0.28
IER5L	0.43835669	0.253	0.67294093	0.135
SAA2	1.08555926	0.253	0.48014408	0.603
DYNC1H1	0.13599642	0.253	0.20570886	0.0738
SNORD116-4	-0.43299551	0.253		
LOC102723714	-0.53966764	0.253		
ICAM2	0.35627103	0.253	0.56059602	0.0372
PLTP	0.25160582	0.253	0.55948524	0.107
MB	0.8996322	0.253	1.1510742	0.153
IFFO2	0.19297652	0.253	0.43653573	0.0195
H1-2	0.27068088	0.253	0.33849951	0.0933
NPC2	0.27502687	0.253	0.59302676	0.0325
COA8	0.22449065	0.253	0.24085434	0.121
LOC100287175	-0.40118917	0.253	-0.72169139	0.0954
DNAAF8	-0.27760576	0.253	-0.24186707	0.406
IGKV1-33	0.77750403	0.253	1.42775854	0.0213
RCN1	0.19380779	0.253	0.22968004	0.274
TUBG2	0.13782538	0.253	0.13632291	0.432
DAB1	-0.24602766	0.253	-0.55628992	0.0316
ERCC2	0.12861446	0.253	0.08386601	0.64
MIR3681HG	0.91011971	0.253		
LOC105373349	-0.41975676	0.253	-0.67643623	0.0373
H2BC13	0.6620336	0.253	1.25848661	0.0341
LOC101929107	-0.32586248	0.254	-0.49395515	0.139
BNC1	1.04330136	0.254		
BCAR1	0.20983962	0.254	0.2637742	0.19
MAF	-0.1202644	0.254	-0.25720917	0.00328
XAB2	-0.14557176	0.254	-0.19916956	0.153
TPM3	0.09856825	0.254	0.20022823	0.144
SANBR	0.17900059	0.254	0.31943643	0.113
ALG3	0.19439392	0.254	0.34231748	0.143
SPI1	0.29674561	0.254	0.52832681	0.098
BLM	0.3913633	0.254	0.85332115	0.0513
NARF	0.16108804	0.254	0.25217611	0.0684
LOC105372279	-0.20620072	0.254	-0.29523248	0.128
PPFIA3	0.29033669	0.254	0.32311126	0.352
TLN1	0.13699917	0.254	0.29224538	0.0827
NR2C1	-0.08953997	0.254	-0.2027733	0.109
PP2D1	0.15055375	0.254	0.03252648	0.875
KCTD18	-0.1169717	0.254	-0.16486889	0.0952
MTMR7	-0.13596964	0.254	-0.25123038	0.0673
RBFA	0.2217111	0.254	0.2212238	0.396
APOBEC3G	0.36108074	0.254	0.64395022	0.0816
DRAM2	0.21508153	0.254	0.34415354	0.111
CCDC69	0.28196029	0.254	0.03381736	0.918
TRI-AAT2-1	0.62718657	0.254	1.02868433	0.0377
LURAP1	0.86768543	0.254		
RALB	0.13818343	0.254	0.31934412	0.0899
IGSF21	0.90180669	0.255		
SRFBP1	0.12236784	0.255	0.16372171	0.331
TTC1	0.1208689	0.255	0.2934129	0.0234
ASPN	0.30864985	0.255	0.84586645	0.028
LRRC37A5P	-0.59141234	0.255		
ADAM20	-0.21715686	0.255	-0.3800878	0.00495
SERPINA5	-0.18063207	0.255	-0.30447759	0.338
ABCC1	0.19770737	0.255	0.53784156	0.0471
CDC6	0.65014757	0.255	1.40910506	0.027
RHBDF2	0.22679738	0.255	0.43575616	0.136
NDUFAF8	0.34601185	0.255	0.47586764	0.0276
LOC105372105	-0.37267125	0.255	-0.50200172	0.207
SPTBN4	-0.55002351	0.255	-0.9299509	0.0503
MAVS	-0.17794915	0.255	-0.26856004	0.136
LOC107985544	-0.30868592	0.255	-0.29577749	0.383
DYNLT4	0.33965296	0.255	0.64349714	0.0636
H2BC8	0.29348708	0.255	0.53854944	0.0885
EEIG1	0.3266009	0.255	0.42296833	0.145
LOC107984505	-0.30548995	0.255	-0.42712148	0.114
RNF135	0.21341416	0.255	0.23358598	0.328
LCLAT1	-0.18420198	0.255	-0.2408384	0.1
HNRNPLL	0.1147867	0.255	0.26943235	0.103
TMSB10	0.37017642	0.255	1.02068648	0.0195
NADK2	-0.16164975	0.255	-0.36332717	0.0986
LOC105375208	0.41158573	0.255	0.43763532	0.368
ENPP2	0.82368362	0.255	0.99176253	0.0427
SNORD22	0.47204133	0.255	0.71730093	0.0342
TMCO3	0.17943465	0.255	0.65016578	0.0263
ADCY7	0.17975935	0.255	0.39012453	0.0697
TMEM201	0.27400422	0.255	0.39359996	0.0884
SDC3	0.25378443	0.256	0.36669491	0.109
AKAP9	-0.1555566	0.256	-0.36004781	0.0247
MYL12B	0.231344	0.256	0.46657194	0.0215
LOC102724057	-0.28436539	0.256	-0.40131652	0.124
TIMP2	0.22631921	0.256	0.50802947	0.128
DCXR	-0.24621172	0.256	-0.36572965	0.38
PHC2	0.1424726	0.256	0.26842612	0.152
IL1B	0.52953571	0.256	0.98080506	0.0256
LOC107986314	0.88019876	0.256		
SMIM13	0.16627856	0.256	0.21645011	0.155
EPN2	-0.1385488	0.256	-0.17549072	0.154
ZNF765	0.13829982	0.256	0.14531104	0.392
LOC102724322	-0.28619212	0.257	-0.33467509	0.28
SNORD3A	0.4598716	0.257	0.76971447	0.029
RWDD2A	0.21548642	0.257	0.25490954	0.0917
PCSK5	0.44674602	0.257	0.6725807	0.0885
LOC105376571	0.4884612	0.257	0.54354228	0.329
LOC102724682	0.26413812	0.257	0.23913004	0.328
MRPL27	0.22510043	0.257	0.33737758	0.0441
ZNF302	-0.11063194	0.257	-0.21038157	0.138
CXorf38	0.13888254	0.257	0.32505949	0.0287
SLC35G1	0.29087199	0.257	0.35031125	0.207
LOC107985792	-0.27943539	0.257	-0.3251509	0.308
CDKN2B	0.46610193	0.257	0.77217499	0.0325
C9orf47	0.4453018	0.257	0.48151624	0.259
CTSD	0.22620928	0.257	0.31800762	0.221
GPANK1	-0.13562433	0.257	-0.15094932	0.239
CDC42SE1	0.1398309	0.257	0.38966709	0.0448
SLC36A1	0.24005064	0.257	0.42959605	0.161
H3C2	0.59799016	0.257	1.29276976	0.0118
LOC112268043	-0.2421616	0.257	-0.22702558	0.394
POU2F3	1.19958275	0.257		
MFSD11	0.09827589	0.257	0.04010297	0.731
LOC105378779	-0.34973643	0.257	-0.72387373	0.0227
SNORA63E	0.63826775	0.257		
EFTUD2	0.08805489	0.257	0.1283473	0.171
ARHGAP30	0.23835755	0.258	0.51458128	0.0507
GYPC	0.35196934	0.258	0.63594317	0.0658
GFM1	0.11646763	0.258	0.07020917	0.581
LOC107986940	-0.30821763	0.258	-0.48418381	0.126
NT5DC3	-0.22628955	0.258	-0.40772427	0.107
PRKX	0.25216368	0.258	0.59015274	0.0279
GGNBP2	-0.09759219	0.258	-0.12655187	0.106
DDX21	0.14722314	0.258	0.27218135	0.0572
HIF3A	-0.78252126	0.258	-1.10490809	0.11
PHLDA3	0.60121067	0.258	1.15407911	0.00328
BCAP29	0.1728715	0.258	0.21580847	0.139
LOC107987072	-0.35757235	0.258	-0.35126878	0.22
ACE	0.36786735	0.258	0.4130418	0.301
UBE2S	0.38365547	0.258	0.70151594	0.0251
POU1F1	0.71417473	0.258		
LOC105372770	0.31407128	0.258	0.42219127	0.132
LOC105374418	0.23396375	0.259	0.19551117	0.518
CATIP-AS2	-0.41554149	0.259	-0.41065672	0.436
CD55	0.28238951	0.259	0.25676354	0.258
THOC6	0.20884937	0.259	0.17455833	0.349
LOC107984128	-0.63827227	0.259		
