Symbol	NAS 1	NAFLD_Stage_1_pvalue	NAS 2	NAFLD_Stage_2_pvalue	NAS 3	NAFLD_Stage_3_pvalue	NAS 4	NAFLD_Stage_4_pvalue	NAS 5	NAFLD_Stage_5_pvalue	NAS 6	NAFLD_Stage_6_pvalue
NSRP1	-0.1509216	0.673	-0.1400011	0.509	-0.1018766	0.551	-0.24977871	0.116	-0.2603617	0.0526	-0.3205539	0.218
RAP2B	0.2224416	0.673	0.1500582	0.558	0.1153031	0.704	0.2240727	0.51	0.4514846	0.00739	0.7126514	0.0768
APOL2	0.2337912	0.673	0.5353624	0.0149	0.4520632	0.0345	0.55474055	0.0358	0.6563246	0.00215	0.4914088	0.0487
UBE2I	0.1194276	0.673	0.1489082	0.355	0.1422241	0.319	0.14748716	0.321	0.2334223	0.147	0.4306561	0.114
POU2F1	-0.1206199	0.673	-0.1594836	0.426	-0.237651	0.0543	-0.25413523	0.204	-0.308063	0.0842	-0.2838296	0.014
CFHR4	0.5420251	0.673	0.0818548	0.884	0.1482252	0.762	-0.22292496	0.728	-0.1440779	0.7	-0.1559833	0.846
LINC02919	-0.5026875	0.673	-0.2850246	0.669	-0.6172691	0.358	-0.84885543	0.0497	-0.8963214	0.0587	-0.8875647	0.135
WASL	-0.108498	0.673	-0.2289758	0.132	-0.2387438	0.1	-0.15206274	0.468	-0.1612003	0.12	-0.0565812	0.747
ANXA7	0.0994331	0.673	0.1735188	0.173	0.2205081	0.107	0.22471405	0.101	0.3045375	0.0209	0.2435768	0.264
TM7SF2	0.4788786	0.673	0.3494379	0.529	0.2315901	0.749	0.52552636	0.204	0.5434207	0.377	0.5615027	0.576
LOC101930091	-0.3152074	0.673	-0.2053775	0.616	-0.2625597	0.397	-0.12661161	0.728	-0.352795	0.21	-0.3741455	0.316
SPON1	-0.5002096	0.673	-0.0234319	0.987	-0.2862312	0.746	-0.32026811	0.54	-0.3658374	0.568	0.1459487	0.861
LOC105369422	0.4026287	0.674	-0.1523838	0.857	-0.2959158	0.633	-0.40507006	0.551	-0.4656991	0.232	-0.7336047	0.281
APPL2	0.1187311	0.674	0.0403455	0.843	-0.0418074	0.751	0.00314418	0.984	0.0071767	0.962	0.0428351	0.856
FOXD2-AS1	0.3818031	0.674	-0.2114523	0.721	0.0155397	0.984	0.26058069	0.649	0.0935511	0.834	0.0899188	0.894
MROH7-TTC4	-0.3848917	0.674	-0.5382055	0.214	-0.3908544	0.365	-0.73290065	0.00922	-0.8230328	0.00177	-0.7468949	0.0725
FMO5	-0.3320353	0.674	-0.4134257	0.319	-0.4813181	0.0864	-0.49577595	0.11	-0.6495276	0.00209	-0.8643606	2.63e-05
AHSA2P	-0.0798036	0.674	-0.0270254	0.876	-0.100528	0.403	-0.11521562	0.4	-0.1913949	0.0413	-0.2326754	0.188
SUCLG2	-0.1346218	0.674	-0.2595187	0.105	-0.2623909	0.275	-0.30027477	0.156	-0.1199183	0.451	-0.2229372	0.403
LOC105369194	-0.305205	0.674	-0.6188792	0.0308	-0.3803813	0.256	-0.50331822	0.0734	-0.6102017	0.0773	-0.6741928	0.142
CHCHD6	0.1880312	0.674	0.0573243	0.87	0.1309019	0.654	0.19587517	0.416	0.113554	0.633	0.1632027	0.588
LOC107986211	-0.2267391	0.674	-0.1931001	0.294	-0.2353136	0.228	-0.22846312	0.385	-0.339516	0.192	-0.4308778	0.106
ZFTRAF1	0.133412	0.674	0.2824663	0.142	0.2354986	0.218	0.16873883	0.528	0.2152642	0.243	0.2405825	0.246
UBQLN1-AS1	-0.3077396	0.674	-0.1710183	0.654	-0.3715252	0.201	-0.36518093	0.158	-0.1048705	0.726	-0.4451224	0.242
BEST1	-0.2330984	0.674	-0.3093923	0.352	-0.2343381	0.37	-0.16364986	0.606	0.0137892	0.975	0.3739654	0.514
RAD51AP1	0.5618226	0.674	0.2119657	0.749	0.441858	0.494	0.62706807	0.253	0.9660373	0.0433	1.129793	0.0266
KMT2D	-0.3237425	0.674	-0.3645067	0.349	-0.334587	0.383	-0.21338664	0.67	-0.4966463	0.0692	-0.0938472	0.86
LOC107984583	-0.1906661	0.674	-0.1227869	0.604	-0.1459301	0.522	-0.19683332	0.342	-0.4193257	0.0564	-0.4111185	0.422
C16orf46	0.2928157	0.674	0.2398435	0.558	0.255749	0.518	0.18418888	0.714	0.104582	0.753	0.2253001	0.596
DNM2	0.0947111	0.674	0.0219194	0.922	0.1052939	0.34	0.15880479	0.352	0.0781514	0.407	0.2023023	0.182
HORMAD1	0.635789	0.674	0.4953451	0.347	0.3064135	0.602	0.49375808	0.486	0.684732	0.125	0.751198	0.277
GGT5	0.285863	0.674	0.0146283	0.975	0.1989528	0.564	0.35575477	0.273	0.3634083	0.359	0.7325826	0.155
SDHAF3	-0.2286065	0.674	-0.5213361	0.00579	-0.3640453	0.0887	-0.36733539	0.0852	-0.0664656	0.863	-0.2412568	0.555
LOC105371867	0.4554556	0.674	0.2657852	0.602	0.2286503	0.68	0.13638526	0.81	0.2553953	0.566	0.424692	0.4
RPL10A	-0.1490389	0.674	-0.0598685	0.86	0.003122	0.993	-0.13637705	0.501	0.0741851	0.836	0.157121	0.788
DNM1P46	0.3916234	0.674	-0.1436019	0.864	0.117892	0.892	0.06517946	0.929	-0.1123168	0.845	-0.1507008	0.873
COX18	-0.098807	0.674	-0.1603199	0.135	-0.109378	0.365	-0.07441554	0.632	-0.0305677	0.795	-0.0833803	0.717
NHLRC1	0.2625989	0.674	0.2146653	0.583	0.1170518	0.747	0.15948181	0.658	0.2155993	0.394	0.2557295	0.573
LOC112268024	-0.1940663	0.674	-0.2290069	0.435	-0.3513385	0.0795	-0.15223099	0.688	-0.4925571	0.0153	-0.1248829	0.851
LOC105376187	-0.3734128	0.674	-0.2178998	0.776	-0.3224958	0.562	-0.57861182	0.304	-0.6682259	0.0902	-1.1303448	0.229
IDE	0.1491303	0.674	0.0542887	0.852	0.0690422	0.777	0.1428781	0.517	0.2314882	0.0348	0.2665777	0.116
ZNF215	0.564648	0.674	0.0408159	0.979	0.2541252	0.862	-0.13522566	0.905	-0.1013944	0.937	-0.3917331	0.646
CEBPG	0.1881114	0.674	0.1853615	0.405	0.1683373	0.285	0.36702247	0.112	0.267227	0.129	0.3192175	0.0399
TOB2	-0.2675291	0.674	-0.1478872	0.653	-0.1711076	0.532	-0.11750701	0.671	-0.2585873	0.231	-0.2887952	0.226
MARS2	0.1710465	0.675	0.2769016	0.21	0.2791136	0.208	0.42178264	0.172	0.4246468	0.0306	0.5111411	0.0427
ATP5MC1	0.2177652	0.675	0.3226602	0.35	0.4394299	0.0639	0.32876492	0.243	0.6123731	0.0798	0.5249993	0.231
INKA2	0.3174423	0.675	0.5689334	0.268	0.6180616	0.15	0.46526253	0.204	0.6273474	0.0275	1.04017	0.0225
THRB	-0.2253133	0.675	-0.003373	0.99	-0.0337594	0.904	-0.09873251	0.662	-0.2498523	0.209	-0.3390386	0.433
HSPA1L	-0.4694116	0.675	-0.5111079	0.408	-0.3593227	0.392	-0.35942763	0.402	-0.3536991	0.31	-0.6870346	0.117
POLD2	0.1682695	0.675	0.1190526	0.743	0.2128852	0.409	0.40499356	0.135	0.254394	0.325	0.0878791	0.88
ECI1	0.2155602	0.675	0.3220444	0.2	0.2710034	0.237	0.15839319	0.57	0.3306364	0.31	0.1244954	0.829
C17orf67	-0.3885174	0.675	-0.3319494	0.555	-0.3164765	0.429	-0.25878351	0.617	-0.3156148	0.533	-0.6357294	0.274
GPN2	0.1417552	0.675	0.0291355	0.891	0.0470201	0.822	0.04326015	0.863	-0.1270203	0.514	-0.1148384	0.605
LOC102723708	-0.4416558	0.675	-0.6092857	0.447	-0.5619654	0.341	-0.28541027	0.677	-0.4631905	0.466	-0.5139194	0.416
SMOC1	-0.3429666	0.676	-0.5031414	0.124	-0.4192784	0.15	-0.60849238	0.0387	-0.7980232	0.00075	-0.8927742	0.00167
KIAA1614	0.2973823	0.676	-0.0200731	0.978	0.10498	0.812	0.17925013	0.674	-0.1530376	0.628	0.0639861	0.895
BAZ2B-AS1	-0.1933668	0.676	-0.1587713	0.538	-0.1390313	0.522	-0.15561322	0.459	-0.2023399	0.354	-0.1625158	0.542
DMXL1	-0.0760017	0.676	-0.101	0.289	-0.0917724	0.403	-0.0962045	0.498	-0.0901868	0.578	-0.1608478	0.408
PITRM1	0.1459978	0.676	0.1611215	0.451	0.2107762	0.146	0.17465773	0.322	0.1586279	0.358	0.2299421	0.116
LOC105370500	-0.2891775	0.676	-0.6224692	0.0296	-0.3908627	0.207	-0.59532858	0.016	-0.8334148	0.00103	-0.9831325	0.0184
NPIPA7	-0.194931	0.676	-0.2971773	0.143	-0.2695546	0.0919	-0.24994888	0.193	-0.3593172	0.0152	-0.3169466	0.286
LOC112267943	-0.2583751	0.676	-0.1705819	0.687	-0.2482781	0.408	-0.24169848	0.396	-0.3807762	0.203	-0.5895314	0.109
LINC00115	-0.3400658	0.677	-0.4546243	0.274	-0.3762278	0.248	-0.52372566	0.0532	-0.6311033	0.0277	-0.7928372	0.052
ZNF799	0.1592747	0.677	0.0600378	0.779	0.039977	0.847	0.10606363	0.557	0.0789017	0.602	-0.0093703	0.971
PCDHGA4	0.4939679	0.677	-0.1924759	0.755	-0.1723198	0.784	0.02406255	0.981	-0.356795	0.42	-0.100161	0.883
KIAA0319	-0.3421577	0.677	-0.5839296	0.269	-0.6891476	0.0249	-0.643579	0.126	-0.8182047	0.0486	-0.8402698	0.11
NFE2L3	-0.1621647	0.677	-0.2529166	0.159	-0.2012715	0.271	-0.2418944	0.114	-0.2711934	0.114	-0.4117205	0.173
NF1	0.1161159	0.677	0.0967659	0.594	0.0700916	0.506	0.09135387	0.566	0.0291328	0.877	0.0507579	0.775
SPSB2	0.3765002	0.677	0.6957851	0.118	0.4843386	0.173	0.58375272	0.15	0.5228625	0.0677	0.4810404	0.195
SAE1	0.2026131	0.677	0.143315	0.477	0.2283766	0.107	0.26438976	0.0873	0.3681965	0.00421	0.4754601	0.00194
HDAC1	0.1388514	0.677	0.0421149	0.825	0.1412965	0.391	0.0659709	0.714	0.130062	0.288	0.2010546	0.412
SSR2	0.1520924	0.677	-0.0518483	0.852	0.127646	0.729	0.08877946	0.769	0.3482359	0.224	0.3402669	0.353
ETV3	0.1661529	0.677	0.3067599	0.0821	0.2801197	0.0398	0.25413633	0.0624	0.255911	0.0608	0.4353643	0.0201
DNAJC27-AS1	-0.422854	0.677	-0.4963196	0.287	-0.4649693	0.341	-0.85653408	0.0492	-0.8243573	0.00986	-0.8661074	0.0744
SLC30A6	-0.09107	0.677	-0.0822501	0.654	-0.1071697	0.446	-0.0917657	0.576	-0.0159911	0.896	0.0065841	0.967
MRPS5	0.1218143	0.677	0.0033016	0.987	0.0994683	0.601	0.00298704	0.989	-0.0252876	0.913	-0.1003006	0.685
SGO2	0.3099827	0.677	0.2785858	0.463	0.216357	0.611	0.3127317	0.367	0.5923702	0.0286	0.9564055	0.00669
CNPPD1	0.1540072	0.677	0.273894	0.101	0.2322928	0.217	0.22501084	0.284	0.2648725	0.105	0.2598329	0.0353
SGPP2	0.4339797	0.677	0.3375641	0.571	0.3635575	0.521	0.48352777	0.36	0.209122	0.577	0.5077216	0.611
CHL1	-1.2385371	0.677	-2.3490015	0.0557	-1.3385506	0.386	-1.18304417	0.578	-2.6361274	0.0149	-2.3187971	0.0234
THOC7-AS1	0.3483711	0.677	0.1294056	0.81	0.1813128	0.699	0.2410379	0.553	0.061841	0.873	-0.037426	0.96
DBR1	0.2205418	0.677	0.2503814	0.294	0.2629976	0.243	0.25654245	0.168	0.3085871	0.0244	0.3036958	0.263
OCIAD1	-0.073114	0.677	-0.0364394	0.86	-0.0285375	0.878	-0.04749339	0.828	0.0877322	0.663	0.0302761	0.92
ACSL6	-0.4118361	0.677	-0.2588219	0.625	-0.5287784	0.0496	-0.6223721	0.238	-0.4398253	0.29	-0.359704	0.542
PCDHGB2	0.4701558	0.677	-0.2255952	0.661	-0.3104071	0.605	-0.09241565	0.897	-0.3931724	0.285	-0.1174916	0.841
ZFAND3	-0.1740617	0.677	-0.1062116	0.604	-0.1107638	0.599	-0.02290819	0.942	-0.0929783	0.614	0.1573277	0.615
KBTBD2	0.1555259	0.677	0.1956807	0.355	0.1145533	0.551	0.15129309	0.362	0.1646543	0.188	0.3033514	0.175
TRIM74	-0.2064732	0.677	-0.3529688	0.0923	-0.3213166	0.0912	-0.28166515	0.278	-0.4455474	0.0277	-0.4728463	0.296
RASA4	-0.2757052	0.677	0.6328698	0.448	0.1033893	0.837	0.22420444	0.618	0.3311535	0.234	0.4404188	0.428
RBM12B-AS1	-0.2309101	0.677	-0.1728857	0.586	-0.156118	0.549	-0.2803508	0.28	-0.4465015	0.0343	-0.5660045	0.115
LOC107987072	-0.5834199	0.677	-0.3049371	0.676	-0.5261947	0.135	-0.53041484	0.237	-0.4871565	0.114	-0.5494346	0.291
TTLL11	-0.2708293	0.677	-0.4523618	0.0623	-0.4029358	0.279	-0.42332837	0.138	-0.3588968	0.0411	-0.3454424	0.135
HBB	0.85258	0.677	0.9845301	0.22	0.5575379	0.52	0.71200388	0.38	0.8599214	0.165	0.2726591	0.753
DNAJC24	-0.1100896	0.677	-0.0761324	0.654	-0.04754	0.77	-0.08230011	0.636	-0.0034282	0.983	0.0426817	0.806
BCL7A	0.2263195	0.677	0.3912576	0.073	0.3620908	0.0503	0.57559358	0.0359	0.3146028	0.0743	0.2866195	0.297
RILPL2	-0.2397566	0.677	-0.1639495	0.599	-0.1117736	0.647	-0.29942823	0.208	-0.1702791	0.581	-0.1950096	0.517
RIPK3	0.3968376	0.677	0.532957	0.176	0.547005	0.303	0.49993985	0.293	0.8427359	0.0119	0.8188792	0.0651
SQOR	0.1775606	0.677	0.1901755	0.425	0.1555374	0.476	0.14539227	0.445	0.134615	0.398	0.2412682	0.333
IL34	0.5219785	0.677	0.5174564	0.396	0.5987301	0.311	0.77061128	0.0973	0.6674149	0.2	0.9342322	0.167
METTL2A	0.1356238	0.677	0.0327737	0.905	0.1323419	0.452	0.12248589	0.441	0.2178772	0.128	0.1819631	0.318
KCTD2	0.1902909	0.677	0.2934408	0.143	0.3232137	0.0863	0.23395	0.235	0.2102772	0.215	0.4016332	0.0516
DSEL	-0.2882086	0.677	-0.4884844	0.314	-0.2366104	0.471	-0.2897793	0.347	-0.1939722	0.626	-0.0864163	0.874
PACSIN2	0.2173818	0.677	0.3530928	0.233	0.3207608	0.179	0.35290365	0.194	0.4289765	0.0894	0.7676607	0.0517
TCEAL9	0.3120022	0.677	0.2140841	0.718	0.4890368	0.372	0.43824881	0.212	0.9842441	0.000411	1.1209018	0.0503
BLZF1	0.0980577	0.677	0.0341778	0.895	0.1239602	0.551	0.13014918	0.573	0.2037692	0.121	0.2585395	0.271
SYT2	-0.2185987	0.677	-0.2907015	0.262	-0.2786243	0.272	-0.25935555	0.213	-0.4647714	0.0859	-0.4722213	0.27
EIPR1	-0.2872972	0.677	-0.3082376	0.312	-0.2768995	0.273	-0.27705556	0.316	-0.2945602	0.246	-0.0190154	0.974
WNT5A	-0.2630479	0.677	0.1020681	0.82	0.0986887	0.811	0.07694826	0.849	0.0783128	0.793	0.0019222	0.998
TMEM9B	0.2128156	0.677	0.1898837	0.544	0.2451348	0.198	0.31251335	0.186	0.5159008	0.00613	0.5762244	0.0139
SOX6	-0.5560994	0.677	0.3731999	0.588	0.2052982	0.734	0.1131173	0.896	0.1084093	0.85	0.4319813	0.608
LOC642846	0.4064475	0.677	0.9521841	0.132	0.9190941	0.0844	0.79099904	0.114	0.4189865	0.507	0.4231164	0.483
KCTD10	0.2096038	0.677	0.2519473	0.386	0.2907204	0.237	0.27497637	0.259	0.3747236	0.0278	0.7532117	0.123
DDHD1	0.1763412	0.677	0.4552428	0.113	0.3048879	0.0724	0.31698525	0.145	0.3161055	0.0319	0.4724449	0.0447
MT1F	-0.8450995	0.677	0.1507249	0.856	-0.0094341	0.994	-0.7511599	0.506	-0.2513919	0.661	-0.5472438	0.598
PLLP	0.4533478	0.677	-0.3440568	0.556	-0.5256059	0.316	-0.49019386	0.334	-0.5193169	0.211	-0.2378618	0.465
LOC653653	0.3162487	0.677	0.2909628	0.608	0.202934	0.689	0.19057324	0.699	0.4521924	0.0695	0.3868582	0.464
RAC3	0.4100969	0.677	0.5890135	0.238	0.6110535	0.106	0.52224677	0.146	0.6595239	0.052	0.507153	0.399
RAB12	-0.1182563	0.677	-0.0254489	0.936	-0.069984	0.634	-0.11882542	0.375	-0.0826203	0.247	-0.1029015	0.402
ZNF559	0.311618	0.677	0.1133268	0.843	0.1939948	0.585	0.24260164	0.472	0.2822336	0.145	0.2167184	0.464
LOC107985568	-0.3783756	0.677	-0.2860894	0.648	-0.2512048	0.558	-0.31779473	0.381	-0.4543143	0.123	-0.4924563	0.257
LOC107984545	0.9789138	0.677	1.0923457	0.436	-0.0068181	0.996	0.5008716	0.646	-0.4363447	0.733	-0.7042815	0.65
BPNT2	0.1456674	0.678	0.0376115	0.864	0.0620528	0.727	0.17538774	0.361	0.1862808	0.173	0.1749536	0.286
MALAT1	-0.1950647	0.678	-0.1613991	0.453	-0.1699202	0.478	-0.17675618	0.536	-0.1996249	0.317	-0.0657984	0.88
PIK3R5	0.2459931	0.678	0.3886561	0.239	0.3318187	0.25	0.35089811	0.317	0.5807845	0.00276	0.7514195	0.115
MYL12A	0.1866367	0.678	0.1628608	0.467	0.2194031	0.558	0.34686078	0.205	0.5907563	0.00998	0.6778011	0.053
CENPJ	-0.1452064	0.678	-0.1358451	0.617	-0.1766749	0.363	-0.28936551	0.0945	-0.2003803	0.288	-0.1595798	0.626
MEG8	-0.3221671	0.678	-0.1779737	0.685	-0.1528419	0.684	-0.18152887	0.515	-0.1494954	0.455	-0.1988729	0.67
NCBP2AS2	-0.1993617	0.678	-0.1542645	0.644	-0.0783426	0.81	-0.0637591	0.86	0.08345	0.829	0.0074577	0.99
HBA2	0.8090292	0.678	0.5269319	0.579	0.1893219	0.851	0.19583368	0.79	0.5700984	0.433	-0.1285669	0.884
HS3ST3A1	-0.2864669	0.678	-0.0792752	0.88	-0.5090013	0.0944	-0.3835554	0.189	-0.4468263	0.129	-0.4962771	0.0783
SPG21	-0.1276758	0.679	-0.0065156	0.982	0.0350789	0.914	0.20834386	0.571	0.0880798	0.675	0.0762922	0.799
INSIG1	0.5363398	0.679	-0.2662751	0.799	-0.0205958	0.985	0.51482465	0.472	0.4503169	0.582	0.6389676	0.471
LOC105373715	0.3075498	0.679	-0.271883	0.352	-0.0562536	0.896	0.08541406	0.803	0.1118591	0.787	0.0720333	0.853
GOLGA8R	-0.2562324	0.679	-0.1808987	0.452	-0.1798174	0.575	-0.17407013	0.552	-0.397866	0.0822	-0.5961065	0.0792
EPB41L3	0.3032466	0.679	0.4785978	0.0924	0.3873653	0.201	0.3642982	0.468	0.5787827	0.00514	0.5304657	0.343
LOC105379477	0.6284623	0.679	0.0740693	0.94	0.4743959	0.569	0.23361293	0.767	0.1203012	0.871	-0.1185537	0.897
ZNF281	-0.1325357	0.679	-0.208451	0.465	-0.1387619	0.43	-0.13616183	0.613	-0.1668978	0.192	-0.3234151	0.00589
ULBP3	0.5458339	0.679	0.4349777	0.47	0.2565712	0.803	0.36130167	0.597	0.5101597	0.337	1.0400456	0.0715
RAB3IP	0.1571576	0.679	0.257282	0.278	0.2632775	0.428	0.02065735	0.955	0.2536231	0.202	0.2651771	0.479
LOC100506023	-0.2912101	0.68	-0.3614022	0.344	-0.404328	0.217	-0.58190177	0.0148	-0.49826	0.0829	-0.6127449	0.194
ZNF738	0.2948921	0.68	0.2045609	0.625	0.1970804	0.698	0.2463844	0.532	0.3861027	0.194	0.453197	0.443
IFT172	-0.1556105	0.68	-0.2783065	0.113	-0.1697215	0.408	-0.31203007	0.247	-0.3616021	0.064	-0.4733861	0.0783
DCAF12	0.0949922	0.68	0.1398938	0.176	0.1067677	0.407	0.1361948	0.292	0.1684965	0.114	0.2794434	0.136
SLC25A11	0.1288173	0.68	0.2693675	0.278	0.400314	0.0683	0.33096573	0.117	0.3126324	0.083	0.2113103	0.477
EPN2-IT1	-0.4508342	0.68	-0.4741496	0.443	-0.4626271	0.357	-0.45501372	0.39	-0.9483568	0.01	-0.6451127	0.297
GLT8D1	-0.202318	0.68	0.0652617	0.826	-0.1269451	0.463	-0.30543724	0.212	0.0333795	0.826	0.0012992	0.998
RARRES1	-0.3076239	0.68	-0.0729241	0.889	-0.0365651	0.961	0.10918839	0.814	0.3225374	0.328	0.9361875	0.187
EFHC1	-0.1509837	0.68	-0.1411222	0.486	-0.1057674	0.681	-0.22143721	0.317	-0.1157832	0.482	-0.0701582	0.89
SCML4	0.6506619	0.68	0.1620677	0.868	-0.1301558	0.859	-0.03962858	0.96	0.4022769	0.371	0.36909	0.622
LOC105379395	0.2965844	0.68	0.3215495	0.374	0.3257532	0.344	0.25573205	0.452	0.0432546	0.908	0.2523723	0.632
C17orf49	0.2104016	0.68	0.1925047	0.469	0.2645104	0.239	0.21054418	0.378	0.4077226	0.17	0.4059989	0.276
ZNF687	0.142868	0.68	0.1577938	0.216	0.1736339	0.333	0.23407946	0.239	0.0699426	0.598	0.1753034	0.399
CD300E	0.5783495	0.68	0.5413064	0.445	0.8642623	0.158	0.76104862	0.152	0.9652698	0.0966	1.1467845	0.0134
ANKRD18A	0.6099927	0.68	1.2994084	0.0905	0.923529	0.249	1.43719314	0.0169	1.3682113	0.00356	1.780964	0.00392
ZNF445	-0.1445972	0.68	-0.1624118	0.242	-0.1416913	0.273	-0.1439999	0.433	-0.3160928	0.0491	-0.3211172	0.132
LHPP	0.1390784	0.68	0.2671122	0.319	0.2914144	0.231	0.32797306	0.1	0.2762471	0.111	0.1130846	0.86
LOC105369388	-0.1729852	0.68	-0.2301613	0.343	-0.2602022	0.251	-0.30247167	0.184	-0.1879894	0.163	-0.2482811	0.324
LOC102724334	0.3698093	0.68	-0.0718794	0.916	0.189762	0.676	0.29094391	0.636	0.5140653	0.135	0.6173983	0.142
RAI2	0.4898495	0.68	0.489123	0.376	0.3430593	0.523	0.44113127	0.416	0.5495935	0.186	0.6284238	0.397
MYO15B	0.1875723	0.68	-0.0422345	0.888	0.0559292	0.891	-0.03000434	0.954	-0.2877366	0.196	-0.1674512	0.683
LOC105379839	0.2692701	0.68	0.3190141	0.384	-0.0079791	0.986	0.01671905	0.973	-0.1259805	0.675	-0.1834719	0.713
VPS33B	0.1762754	0.68	0.1352725	0.567	0.2196149	0.182	0.20585341	0.182	0.1127449	0.53	0.1053699	0.643
SMIM30	-0.12652	0.681	0.0420935	0.912	0.0927392	0.667	0.03879915	0.916	0.3889288	0.109	0.3539562	0.231
NEIL2	0.2091519	0.681	0.0091168	0.981	0.1600429	0.593	0.09064225	0.784	0.1842903	0.406	0.046788	0.89
TMEM67	-0.2532816	0.681	-0.2922876	0.256	-0.2585756	0.463	-0.33027192	0.104	-0.2602752	0.216	-0.2036238	0.69
TATDN1	-0.0983008	0.681	-0.0803862	0.699	-0.0582918	0.781	-0.08792979	0.624	0.0353538	0.896	0.0135694	0.976
RHPN1	-0.9222171	0.681	-0.6034095	0.629	-0.9594389	0.199	-0.92431549	0.348	-0.8619207	0.192	-0.6707124	0.517
LRCOL1	0.7069681	0.681	0.0680291	0.949	0.0452176	0.975	0.7397675	0.326	0.3117274	0.714	0.7230559	0.309
ZNF382	0.3706732	0.681	0.3994658	0.604	0.365019	0.653	0.617654	0.26	0.7843837	0.0342	0.6863151	0.219
CCNQ	0.201708	0.681	0.0841273	0.786	0.0576219	0.867	0.13583029	0.689	0.3031009	0.253	0.405686	0.228
ATOX1-AS1	-0.2972406	0.681	-0.142629	0.756	-0.2955421	0.347	-0.19337403	0.616	-0.3407843	0.262	-0.184341	0.696
FMO4	-0.2657829	0.681	-0.1062837	0.802	-0.3007533	0.379	-0.26166435	0.466	-0.3821403	0.0467	-0.3577764	0.418
XRCC3	0.2014368	0.681	-0.0415851	0.889	0.0809506	0.762	0.1105934	0.692	-0.054268	0.821	-0.0849477	0.833
KRT19	1.4610122	0.681	-0.9180274	0.436	0.373745	0.806	-0.3131216	0.801	-0.2722549	0.808	0.2549615	0.895
PWP2	-0.1893951	0.681	0.1352934	0.727	0.2295622	0.454	0.12646361	0.718	0.0112117	0.97	0.0010419	0.998
SNHG5	-0.5031452	0.682	-0.4033428	0.65	-0.4375914	0.385	-0.62028827	0.228	-0.2699429	0.592	-0.5438414	0.503
KLC2	0.3917453	0.682	0.7251586	0.0294	0.5422963	0.171	0.75219585	0.0287	0.5768537	0.0799	0.7875801	0.0976
SNORA70G	-0.3146241	0.682	-0.2386947	0.523	-0.3107676	0.37	-0.30681994	0.345	-0.4490857	0.131	-0.2682865	0.438
LRRC25	0.4117198	0.682	0.5501554	0.349	0.5514373	0.182	0.62861945	0.209	0.8787507	0.00129	0.7994205	0.123
FOXRED2	-0.2613134	0.682	-0.1841179	0.643	-0.1107166	0.753	-0.34722379	0.291	-0.1976824	0.49	-0.1120218	0.749
MLF2	0.0834116	0.682	-0.0288358	0.864	0.0103496	0.964	0.08079685	0.714	0.1985363	0.367	0.2095596	0.603
RPGRIP1L	-0.2112481	0.682	-0.1837608	0.455	-0.1956215	0.582	-0.23718466	0.409	-0.0971067	0.68	-0.0938113	0.865
BPNT1	0.136617	0.682	0.0141724	0.941	0.0651358	0.76	0.0785057	0.695	0.1437663	0.229	0.1772547	0.215
SPRYD4	-0.1611129	0.682	-0.38948	0.106	-0.3740292	0.241	-0.52495269	0.0538	-0.429831	0.0172	-0.5518967	0.275
SLC66A3	0.1885743	0.683	0.1392166	0.422	0.1467525	0.318	0.19772089	0.257	0.2779664	0.0478	0.3409034	0.152
GASK1B	0.4128589	0.683	0.4236493	0.352	0.3776413	0.322	0.41917816	0.348	0.5451714	0.0686	0.7504831	0.222
HSPA7	0.6516626	0.683	0.9422942	0.16	0.8133045	0.155	1.02254731	0.183	0.9568803	0.0304	1.5451376	0.0735
MRFAP1	0.0986442	0.683	0.1184529	0.367	0.1869954	0.111	0.16945202	0.339	0.2261008	0.0517	0.2793424	0.146
AMACR	-0.1839328	0.683	-0.0144841	0.969	-0.222407	0.369	-0.27477286	0.163	-0.0951411	0.736	-0.1107956	0.844
GDF9	0.166146	0.683	0.2146123	0.372	0.334086	0.146	0.26499992	0.468	0.6425071	0.133	0.4923445	0.355
ZNF251	-0.1313038	0.683	-0.161389	0.45	-0.172334	0.315	-0.21412996	0.119	-0.2426241	0.057	-0.2899977	0.271
SLC46A2	-0.4190658	0.683	-0.516614	0.217	-0.3362042	0.51	-0.24866746	0.643	-0.2513386	0.471	-0.2039783	0.72
LOC112268148	0.3237349	0.683	0.2159786	0.587	0.1301515	0.698	0.06822884	0.877	-0.0752032	0.836	-0.1267257	0.802
MIEN1	0.158488	0.683	0.1020045	0.654	0.2066003	0.279	0.18390704	0.484	0.4298257	0.172	0.3503309	0.444
ADSL	0.1440365	0.683	0.3914986	0.321	0.391234	0.171	0.25531599	0.0673	0.2802199	0.0468	0.265988	0.223
OTUB1	0.1455922	0.683	0.1476604	0.475	0.2946805	0.0496	0.25857932	0.175	0.3552739	0.0503	0.3411974	0.192
PMF1-BGLAP	-0.254069	0.683	-0.259503	0.34	-0.1797543	0.513	-0.38578156	0.107	-0.2799601	0.213	-0.3505917	0.238
MIR568	-0.3191155	0.683	-0.5060979	0.25	-0.4090317	0.183	-0.60175103	0.0839	-0.4377669	0.0872	-0.6401292	0.063
MCM4	0.3853203	0.683	0.1650843	0.697	0.173343	0.648	0.3368507	0.295	0.5084378	0.0746	0.6151859	0.122
CHRNB1	0.2940223	0.683	0.520001	0.166	0.4701434	0.238	0.42313558	0.0654	0.5643764	0.00985	0.4332532	0.227
