Symbol	Fibrosis_1	Fibrosis_1_pvalue	Fibrosis_2	Fibrosis_2_pvalue	Fibrosis_3	Fibrosis_3_pvalue	Fibrosis_4	Fibrosis_4_pvalue
TMC4	-0.49176977	0.426	0.0269241	0.9913	0.92834292	0.0854	0.432938	0.802
LOC105373347	0.29092659	0.426	0.3491925	0.6793	0.33357559	0.328	0.3636395	0.729
PFN4	-0.15284047	0.426	-0.1207878	0.77073	-0.00414131	0.985	-0.1550094	0.757
SMIM10L2B	0.20038006	0.426	-0.0947506	0.89514	-0.12595847	0.641	-0.528066	0.4
STX17	0.09727149	0.426	-0.1096697	0.71676	-0.21447898	0.0824	-0.3481763	0.283
CENPC	-0.08960914	0.426	0.0527399	0.87342	-0.13452761	0.297	-0.202752	0.487
ARSK	-0.12343726	0.426	0.0131953	0.9827	-0.0093035	0.956	-0.057369	0.911
MUS81	-0.08098636	0.426	-0.0731708	0.7669	-0.11349506	0.285	-0.1197577	0.692
LINC02456	-0.33297785	0.426	-0.416266	0.67396	-0.06959606	0.878	-0.3484269	0.772
CYP21A2	-0.26412702	0.427	0.1076492	0.92299	-0.36611019	0.222	-0.0257901	0.984
C11orf91	0.14330895	0.427	-0.0570202	0.92701	0.58136509	0.000467	0.3929624	0.36
GC	-0.09040076	0.427	-0.0019201	0.99631	0.0165938	0.932	-0.1458141	0.686
ADCY4	-0.16510312	0.427	-0.3009035	0.47839	-0.13986793	0.553	-0.1062417	0.881
EOMES	0.16618552	0.427	0.2651895	0.58886	0.27006991	0.14	0.3287669	0.494
MDM4	-0.05813897	0.427	-0.0800233	0.57619	-0.17923114	0.0231	-0.1927212	0.223
LOC105373804	0.24625344	0.427	-0.0978438	0.91529	-0.10832387	0.747	-0.4628747	0.5
NFKB2	0.11733199	0.427	0.1768641	0.55904	0.11330932	0.378	0.3383222	0.265
LINC00597	0.13293995	0.427	0.0550323	0.90798	-0.14947308	0.492	0.1000746	0.823
ASPSCR1	0.12634222	0.428	-0.049179	0.8869	-0.20000514	0.103	-0.3929993	0.122
RECK	0.14096486	0.428	0.0465597	0.93071	0.41861082	0.00553	0.608234	0.0811
RTEL1	-0.10068726	0.428	-0.2206685	0.42048	-0.33229104	0.00903	-0.6093004	0.0529
TMEM177	-0.05852202	0.428	-0.110707	0.45704	-0.04888552	0.621	-0.319435	0.0572
CRADD-AS1	-0.10625591	0.428	-0.1231585	0.67635	-0.35651609	0.0353	-0.2919592	0.323
SLFNL1-AS1	-0.17824309	0.428	0.0405082	0.9534	-0.32226534	0.165	-0.4580723	0.373
PLSCR1	0.16392251	0.428	0.0975023	0.74819	0.37680679	0.00371	0.7447157	0.00153
TBC1D10C	0.14568563	0.428	0.2228192	0.60859	0.12748437	0.514	0.0305637	0.964
TTC30A	-0.09376361	0.428	-0.0147132	0.97243	-0.14710928	0.21	-0.0181313	0.966
GDPD4	0.20400739	0.428	0.1281917	0.87991	0.11880214	0.728	-0.1524279	0.854
COSMOC	-0.11905334	0.428	-0.0876764	0.82279	-0.01865934	0.933	-0.5558926	0.114
LINC01191	0.16850354	0.428	0.1647177	0.77251	-0.03934494	0.872	0.0641574	0.925
FAR1	0.11718502	0.428	0.1834177	0.54067	0.39389525	0.0113	0.8191849	0.00232
CES5A	0.20045384	0.428	-0.0303995	0.97415	0.05669103	0.859	-0.8200762	0.142
NCOA7-AS1	-0.24989945	0.428	0.2107683	0.78374	-0.17548674	0.584	-0.7813479	0.332
LINC02490	-0.21117939	0.428	0.0265425	0.97961	-0.10347117	0.728	-0.604725	0.435
PIR-FIGF	0.11313614	0.428	0.0775913	0.84089	0.39183781	0.00388	0.2098915	0.562
CNTN3	0.18888982	0.429	0.0317922	0.97586	-0.0799102	0.781	0.2641569	0.744
C10orf67	-0.34036696	0.429	0.0013819	0.99922	-0.4188129	0.401	-2.4148144	0.0274
GTDC1	0.08886223	0.429	0.0812337	0.77362	0.15469443	0.192	0.4679819	0.0543
NAV1	0.11433107	0.429	0.1174334	0.75259	0.48499231	0.00578	0.1201779	0.787
UBE3C	0.05940533	0.429	0.0099573	0.96468	-0.07024218	0.397	0.1114727	0.475
ERH	0.08997293	0.429	0.0905166	0.71622	0.29324862	0.0347	0.3681807	0.122
FAM174C	-0.10124967	0.429	-0.2168995	0.2792	0.26386121	0.253	-0.5995227	0.0142
TBC1D17	-0.08703055	0.429	-0.0866972	0.74477	-0.12942802	0.207	-0.5560391	0.0317
HOPX	-0.28577653	0.429	-0.0666473	0.95729	0.84905182	0.0376	2.3032663	0.00193
MYCBP	0.06594531	0.429	0.1459576	0.44436	0.33240203	0.000161	0.4169466	0.00809
LIX1L	-0.06537625	0.429	-0.1226503	0.41456	0.19389806	0.0172	0.1002087	0.621
LOC107986124	-0.25372103	0.429	-0.2054463	0.81574	-0.4602449	0.138	-1.152726	0.16
H1-3	0.21167518	0.429	0.4664189	0.28763	0.68092264	0.0104	1.4182551	0.00386
LINC00680-GUSBP4	-0.10538668	0.429	-0.1494933	0.60958	-0.13097143	0.315	0.0764213	0.837
BLK	-0.23598389	0.429	0.4264525	0.514	-0.30899735	0.271	0.1882657	0.807
CA3-AS1	-0.13035877	0.429	-0.0874188	0.83087	0.19461033	0.318	-0.2691227	0.53
ACER2	-0.1201292	0.429	-0.1848967	0.59023	-0.07573919	0.625	-0.0980406	0.836
MIR675	0.43780916	0.429	0.2042539	0.89003	0.71431829	0.103	-0.3972345	0.784
KLRA1P	0.12548906	0.429	0.0483406	0.92665	0.12165768	0.471	0.3010873	0.464
KRT7	-0.37564635	0.429	0.4081957	0.698	0.883091	0.0431	2.468707	0.0101
LOC105371953	0.32548371	0.429	-0.0831833	0.94811	0.06047953	0.882	0.4620163	0.601
ANO8	-0.12371054	0.429	-0.1305804	0.73546	-0.15844973	0.297	-0.399444	0.299
DZANK1	-0.11381314	0.429	0.1087811	0.7088	0.02814679	0.867	0.1809748	0.612
FBN2	0.33101664	0.429	0.7154942	0.25591	0.08712492	0.818	1.8507045	0.00574
ALDH3A1	0.4514064	0.43	0.4880535	0.75309	1.51341885	0.00829	-0.4238252	0.833
ERGIC3	-0.06794071	0.43	-0.0216683	0.94125	-0.00512817	0.963	0.0244521	0.931
LOC105372659	-0.20896669	0.43	-0.1182048	0.86575	-0.16932811	0.603	-0.5372	0.405
TPD52L1	-0.07616478	0.43	-0.0916013	0.65887	0.05685022	0.643	-0.1736566	0.371
LRRC3-DT	-0.22561958	0.43	-0.2490504	0.7069	-0.46715581	0.129	-0.9209987	0.2
RIMKLA	-0.15956706	0.43	-0.2040039	0.6302	-0.46215762	0.00935	-0.5187178	0.26
TBCCD1	0.08150071	0.43	0.0219281	0.93154	0.13850977	0.0522	0.1584561	0.388
BBS9	-0.06990967	0.43	-0.0607465	0.78374	0.0049685	0.965	0.1090262	0.659
ENO3	-0.3170518	0.43	-0.6036553	0.5531	-0.80803118	0.0465	-0.8038419	0.544
NUCB2	0.16854339	0.43	-0.0569281	0.93544	0.09547753	0.642	0.6365187	0.183
CNNM3-DT	-0.17731825	0.43	-0.4276855	0.32404	-0.30461033	0.128	-0.7513461	0.16
NCBP2-AS1	-0.12261087	0.43	0.0072731	0.99014	-0.0806957	0.6	0.0127217	0.98
IGSF6	0.17301101	0.43	0.4159928	0.31703	0.47209284	0.0393	0.6912406	0.181
LCIIAR	0.20764281	0.43	0.2125023	0.74232	-0.2178287	0.404	-0.0950023	0.913
TENT2	0.05991797	0.43	0.0159677	0.94781	-0.00398749	0.964	0.0403524	0.864
DENND1B	0.07941586	0.43	0.0152016	0.96509	0.05130571	0.553	0.1718554	0.476
DAO	0.12928625	0.43	0.0112963	0.98667	0.08695626	0.711	-0.119175	0.837
TSEN54	-0.09555581	0.43	0.0725605	0.82464	-0.06180344	0.632	-0.1476299	0.67
COX4I1	-0.09010134	0.431	-0.0542632	0.87945	0.24103611	0.0903	-0.0347892	0.931
MORF4L2-AS1	-0.09816846	0.431	-0.0616198	0.85433	-0.12237647	0.311	0.0047545	0.992
ABCG5	-0.08609594	0.431	-0.0622011	0.83225	-0.19431976	0.097	-0.3259019	0.201
CDKL3	-0.09980189	0.431	0.0059008	0.98945	-0.15596833	0.183	-0.0597605	0.865
MICALCL	-0.22517547	0.431	-0.3065574	0.60026	-0.42070171	0.09	-0.1736345	0.841
JRK	-0.07321566	0.431	-0.0347692	0.90685	-0.23964832	0.0411	-0.1717406	0.499
SNHG16	-0.09845812	0.431	-0.0805639	0.73733	0.00972132	0.942	-0.1767246	0.462
TAP1	0.12699252	0.431	0.2002761	0.55325	0.17859272	0.204	0.6959403	0.0628
ROS1	-0.42178592	0.432	-0.9094448	0.44395	-0.72409066	0.173	-0.7066368	0.681
POU5F1P4	-0.15981193	0.432	0.0011186	0.99866	-0.27850367	0.147	0.0316577	0.964
PPP2R1A	-0.0874067	0.432	-0.0436131	0.89592	-0.02541333	0.851	0.0485322	0.902
CD1E	0.36240126	0.432	1.1844565	0.01078	1.01435636	0.0024	1.2306757	0.113
BTN3A1	0.0956697	0.432	0.0573932	0.87481	0.04502524	0.766	0.4605301	0.138
LOC112268084	-0.21209696	0.432	0.1066368	0.88592	0.10219711	0.713	0.7816487	0.178
SLFNL1	-0.19833368	0.432	0.0275019	0.97243	-0.21340148	0.399	-0.3179149	0.615
LOC101927536	-0.36735527	0.432	-0.6453475	0.46672	-0.73112174	0.073	-2.0090156	0.0529
DTX3	-0.15336713	0.432	-0.0204531	0.97828	0.24866864	0.209	0.475457	0.291
ZNF384	0.0570441	0.432	-0.0322705	0.87342	0.05329158	0.5	-0.0567427	0.796
EBI3	-0.24553546	0.432	-0.0131918	0.99026	-0.01868798	0.965	-0.035761	0.974
MAPKAPK3	-0.09857781	0.432	0.0351059	0.94759	-0.03463661	0.842	-0.0607056	0.898
RGS7BP	0.27025634	0.433	0.120026	0.89073	0.33449505	0.283	0.6044313	0.345
ZCCHC10	0.06851929	0.433	0.0767697	0.74306	0.17905053	0.0592	0.4404095	0.018
VDAC3	-0.13289599	0.433	-0.105623	0.83802	0.07963102	0.693	0.0866716	0.896
RPS20	-0.10721284	0.433	-0.0463257	0.91258	0.2582529	0.154	0.0101383	0.985
HBA1	-0.31329598	0.433	-0.9131557	0.15498	-0.19258172	0.666	-1.9698418	0.026
LOC105372835	0.14275609	0.433	0.0608036	0.91258	0.08512752	0.726	-0.0314803	0.963
ANKRD61	-0.12088734	0.433	-0.1202372	0.75919	-0.18660145	0.258	-0.3221262	0.397
LINC03002	0.19095142	0.433	0.1574251	0.8018	0.44561182	0.103	0.0846731	0.921
LINC00470	0.34173018	0.433	-0.0539417	0.97304	-0.04000576	0.935	0.3837264	0.731
LINC02256	-0.13093773	0.433	-0.0671935	0.87534	-0.37581813	0.0273	-0.6823825	0.0596
GUSBP16	-0.10528005	0.433	-0.2518001	0.20203	-0.12666936	0.305	-0.1634394	0.578
LOC105370579	-0.17526109	0.433	-0.1323019	0.84281	-0.04692805	0.853	-0.3906436	0.544
SPATA7	-0.10771663	0.433	-0.1168462	0.72085	0.08823614	0.595	0.1196543	0.773
LOC101927793	-0.20504236	0.433	-0.338808	0.583	-0.21428046	0.508	-1.3940322	0.0343
LOC105378651	-0.11429295	0.433	0.0254448	0.96139	-0.20824909	0.161	-0.2581557	0.512
ZBTB41	0.08555179	0.433	-0.0032013	0.99323	0.09414339	0.391	0.281779	0.272
LOC105376526	-0.32874279	0.433	-0.4088198	0.62995	-0.11678863	0.805	0.0247075	0.986
RABIF	0.08859103	0.433	0.0673024	0.83931	0.28122831	0.0126	0.2939768	0.326
SLC16A1-AS1	-0.1616664	0.433	-0.0408222	0.95801	-0.03929553	0.883	-0.3564629	0.476
TYW1B	-0.18233786	0.433	-0.3088626	0.50937	-0.12726105	0.619	0.0287491	0.972
MLX	-0.07478103	0.433	-0.0493632	0.85053	0.08436001	0.436	-0.1982589	0.262
CYP1B1	0.16493599	0.433	0.0817543	0.88058	0.42863509	0.0566	0.526937	0.194
EXOSC7	-0.11808851	0.433	-0.057173	0.91506	-0.2161206	0.155	0.0353156	0.955
GEM	0.24929076	0.434	0.5560255	0.26338	0.66265373	0.00383	2.5203629	8.73e-07
TLK1	0.08916453	0.434	-0.0999149	0.73566	0.15658281	0.146	-0.1426178	0.679
LOC107986079	-0.12451925	0.434	-0.1428023	0.6793	-0.38134862	0.027	-0.6798558	0.0447
WDR17	-0.17023307	0.434	-0.1345692	0.81698	-0.24888751	0.282	0.363041	0.518
FUT1	-0.16464407	0.434	-0.1054488	0.87144	0.05094715	0.835	0.0993653	0.885
TRIM10	-0.19627126	0.434	-0.0758409	0.91258	0.07467199	0.766	0.3025778	0.608
FNIP2	-0.18397241	0.434	-0.2381031	0.6434	-0.28485069	0.187	-0.8899159	0.0739
SLC28A1	0.14413961	0.434	-0.1004398	0.89768	-0.11823102	0.616	-0.4484041	0.367
ZNF699	0.1259575	0.434	0.1631332	0.65018	0.1242154	0.46	0.5222118	0.146
SH2D1B	-0.20794815	0.434	0.0128044	0.99095	-0.28327769	0.328	-0.3103315	0.674
TCF7L1	-0.17467485	0.434	-0.2991202	0.51175	-0.00045432	0.998	-0.8670051	0.0844
XRRA1	-0.12278218	0.434	-0.1421722	0.66151	-0.27999136	0.042	-0.2942321	0.42
WDFY2	0.04873083	0.434	0.039214	0.81305	-0.01205458	0.887	0.0187666	0.92
FCSK	-0.09282682	0.434	-0.091872	0.73844	-0.16820007	0.0971	-0.3629592	0.185
SLC4A5	-0.15489191	0.434	-0.0367868	0.95955	-0.03072423	0.894	-0.2213145	0.681
KHDRBS3	0.09717685	0.434	-0.0638444	0.82464	0.02248677	0.858	-0.0366169	0.916
PPP3R1	0.09815753	0.434	-0.0407288	0.92056	0.11100212	0.386	-0.1921709	0.582
AMOTL2	-0.10621448	0.434	-0.1240405	0.64804	-0.04209752	0.792	0.3071802	0.318
LOC105374936	0.18221077	0.434	-0.0230203	0.98057	-0.13093295	0.635	-0.3307171	0.634
CPPED1	0.10383556	0.434	0.0002542	0.99952	-0.02694073	0.859	-0.3448886	0.293
LOC107986828	-0.26271201	0.435	0.0287596	0.98304	-0.08613188	0.828	0.2009281	0.85
IGFBPL1	0.44403633	0.435	1.0404127	0.28839	0.82175049	0.0773	1.314795	0.291
LOC440311	-0.21213708	0.435	-0.0343345	0.97354	-0.15903061	0.551	-1.228042	0.0811
LOC112268460	-0.29564231	0.435	-0.6748716	0.3045	-0.45243541	0.159	-0.4710777	0.635
ASAP1-IT2	0.17722853	0.435	0.0024599	0.99744	-0.16102292	0.514	-0.6532738	0.266
FCHO1	0.18741672	0.435	0.2354442	0.67186	0.50204789	0.00475	0.7576866	0.0928
CBLC	-0.14899881	0.435	-0.3796412	0.33088	-0.10617757	0.625	-0.9805351	0.0267
ESS2	-0.08902531	0.435	-0.0795942	0.81976	-0.13454435	0.301	-0.2809427	0.372
ZNF397	-0.05223383	0.435	-0.0803176	0.59213	-0.08000779	0.278	-0.0710726	0.717
SLC22A23	-0.14235703	0.435	-0.3773216	0.17743	-0.27842392	0.105	-0.3799696	0.375
KLHL41	0.20196822	0.435	0.1048402	0.84539	-0.12698374	0.55	0.360124	0.45
TAPBP	0.10623965	0.435	0.0582835	0.879	0.25295426	0.0543	-0.1000082	0.823
VOPP1	0.09651021	0.435	0.1613772	0.47697	0.38832767	0.00147	0.5699661	0.0248
CARS1-AS1	0.15549444	0.435	-0.0509922	0.93996	-0.11403809	0.548	-0.2279642	0.684
HIC1	-0.0996496	0.435	-0.1978651	0.43599	0.08494905	0.544	-0.0954364	0.812
NSFL1C	0.05455626	0.435	-0.0673409	0.64914	0.09537808	0.202	-0.1662822	0.334
EEF1E1-BLOC1S5	0.0743482	0.435	0.127041	0.43991	0.19596392	0.0189	0.1717418	0.442
CYBC1	-0.09722659	0.435	-0.0803622	0.79127	0.02339972	0.875	-0.0998075	0.79
ZNF701	-0.11537206	0.435	-0.1067594	0.75475	-0.04457221	0.787	0.0447367	0.92
ELMO2	0.08965681	0.435	0.0673232	0.83513	0.12022276	0.315	0.1468596	0.678
ALDH1A3-AS1	-0.23132152	0.435	-0.2292843	0.69485	0.40645909	0.0896	0.5737144	0.365
CROCCP3	-0.0773087	0.435	-0.0397089	0.88878	-0.28170491	0.00435	-0.128589	0.618
ANO3	0.26026604	0.435	0.2938195	0.65895	0.04254097	0.898	0.4686064	0.499
LOC105370447	0.08402223	0.435	0.1406286	0.51744	0.16600298	0.127	0.2296168	0.377
FOXP1	-0.07674177	0.435	0.0048901	0.99098	-0.12583695	0.23	-0.0019804	0.995
RNF139-DT	-0.09389202	0.435	-0.1381398	0.57659	-0.33800939	0.00474	-0.1446935	0.664
SRSF10	0.03701844	0.435	0.0513542	0.65988	0.00859518	0.891	0.1589397	0.167
LOC107985230	0.20299658	0.435	0.0786533	0.91751	0.23167853	0.352	0.0819662	0.917
ACAT2	0.29453501	0.435	-0.1647454	0.85777	0.33692122	0.362	-0.759832	0.327
SLC26A5-AS1	-0.19036599	0.435	-0.0852112	0.90846	-0.51701122	0.0659	-0.1875821	0.787
TSPYL2	0.10977907	0.435	0.0094067	0.98586	-0.09086856	0.515	0.0834362	0.832
NXT2	0.09683228	0.435	0.0794734	0.83349	0.09004159	0.527	0.3961939	0.239
PLAC9	-0.20563135	0.435	0.0592526	0.94542	0.58496852	0.0413	0.6327538	0.31
PDE6D	0.08637101	0.435	0.1205462	0.66445	0.42129609	0.00549	0.4041179	0.155
RASGRF2	-0.14097087	0.435	-0.011423	0.98756	-0.39323979	0.0314	0.2616298	0.58
LOC107987044	-0.21247627	0.435	-0.3386224	0.51582	-0.23021094	0.37	-0.3682252	0.565
ZNF441	0.07415319	0.435	0.0405797	0.88129	0.01892647	0.864	0.2200997	0.348
SNRNP27	0.08834603	0.435	0.0388041	0.90196	0.27415531	0.0205	0.2482503	0.316
ESRRG	-0.55380446	0.435	-1.0045611	0.44395	-0.09679704	0.895	-0.2545095	0.911
CHRNE	-0.11636488	0.435	-0.2588088	0.4375	-0.00710567	0.973	-0.4688359	0.202
CDK9	-0.07891685	0.436	-0.0606888	0.79647	-0.12849913	0.11	-0.234496	0.281
RASSF9	0.14514177	0.436	0.1998574	0.6434	0.45380352	0.00744	0.6835761	0.145
ZNF487	-0.12572088	0.436	-0.1562334	0.48432	-0.34475747	0.000472	-0.172722	0.532
LOC105370456	-0.18177346	0.436	-0.1510249	0.78979	-0.30901639	0.173	-0.3539835	0.488
SND1	0.07190989	0.436	-0.0363237	0.89967	-0.12587668	0.176	0.1550451	0.561
EPC2	0.05781101	0.436	0.0198685	0.9306	0.04735361	0.55	0.2351554	0.119
DTX2P1-UPK3BP1-PMS2P11	-0.07629229	0.436	-0.2015111	0.31049	-0.15175445	0.123	-0.5192986	0.0322
SVIP	0.09023965	0.436	-0.024263	0.94967	0.04575386	0.727	-0.0199391	0.96
SC5D	0.23100418	0.436	-0.19948	0.77185	0.30402545	0.31	-0.6647256	0.331
LOC105371742	-0.22475339	0.436	-0.0581492	0.94878	-0.35905567	0.192	-1.0492556	0.126
SLC25A42	0.14159982	0.436	-0.0913695	0.82413	-0.11985415	0.51	-0.4055989	0.326
ARSA	-0.11958991	0.436	-0.0931196	0.81182	-0.11404741	0.446	-0.5727295	0.0925
TMEM268	0.1205098	0.436	-0.1108663	0.76962	-0.02725524	0.881	-0.1677801	0.713
GLRX3	0.07849998	0.436	0.0586483	0.77715	0.21336159	0.0151	0.157764	0.414
OLFML3	-0.1306207	0.436	0.0950135	0.79796	0.36594435	0.0109	0.5250076	0.122
HIVEP3	0.12691397	0.436	0.0215941	0.97243	0.27650084	0.031	0.0069002	0.99
CDK14	-0.0611364	0.437	-0.0888047	0.65839	-0.15625138	0.0616	-0.1379546	0.566
UNC5CL	-0.1970514	0.437	-0.2827528	0.59601	-0.10511074	0.656	-0.4910372	0.421
DNAJC18	-0.20356996	0.437	0.0612414	0.94125	0.06062893	0.845	0.2607711	0.717
PDCD4	0.10869538	0.437	0.0340242	0.94813	-0.13505303	0.329	0.2403078	0.522
SMUG1	-0.06777907	0.437	-0.0669594	0.72279	0.0041557	0.972	-0.2603757	0.131
HSPA2	-0.39120642	0.437	-0.3289274	0.8225	-0.26820894	0.61	1.0817669	0.453
HBA2	-0.32190036	0.437	-0.867379	0.18864	-0.1052781	0.829	-1.9769768	0.0267
UBR5	0.0419226	0.437	0.0038286	0.98423	-0.20486351	0.0154	-0.0394386	0.802
ITPR2	-0.07994769	0.437	-0.0730658	0.80818	-0.30162754	0.0291	-0.4693607	0.0737
HSPA7	0.27795627	0.437	0.2237043	0.81747	0.52580594	0.176	0.0502082	0.97
WDR26	0.06490583	0.437	-0.0434131	0.84449	0.14118218	0.0746	-0.0217605	0.936
PPM1G	0.0621289	0.437	0.0200831	0.93058	-0.11772326	0.0824	0.328631	0.031
EHD3	-0.15038068	0.437	-0.0226445	0.97828	-0.31919595	0.118	-0.5192344	0.338
CLINT1	0.05150477	0.437	-0.04667	0.79897	0.02369129	0.786	-0.054777	0.814
C6orf120	0.05875033	0.437	0.0682334	0.72628	0.18270024	0.0196	-0.1057406	0.663
POLD2	0.11369142	0.437	-0.2163214	0.36449	-0.03225315	0.866	-0.4419734	0.106
CTHRC1	0.13130194	0.437	0.024689	0.97243	0.14332786	0.421	1.4463522	0.000219
PTK2	-0.04737951	0.437	-0.0170966	0.94085	-0.01045616	0.887	-0.0754937	0.669
GLYATL1	0.0702364	0.437	-0.0264288	0.93235	-0.06806318	0.654	-0.2931615	0.235
RTL1	-0.25150262	0.437	-0.6806768	0.33387	-0.49466831	0.158	-0.4994379	0.642
ATP8B3	0.22141509	0.437	0.213165	0.7632	0.34638123	0.133	0.2107247	0.796
RBX1	0.10838954	0.437	0.1070788	0.75475	0.44470859	0.0119	0.4921385	0.097
LOC105379273	-0.27362397	0.437	-0.0924023	0.92982	-0.4633778	0.189	-0.5333091	0.555
SMG1	-0.08482889	0.438	-0.1148425	0.72067	-0.39137134	0.0017	-0.7670256	0.00297
C1orf162	-0.09043609	0.438	-0.0078279	0.9855	-0.10599825	0.384	0.1375129	0.673
PDE4DIPP4	0.17236798	0.438	0.2333553	0.62327	0.30443689	0.108	-0.0022769	0.997
FADS1	0.36027651	0.438	-0.0607256	0.96905	0.29636383	0.522	-1.8389139	0.0658
LOC105370500	-0.14174671	0.438	-0.2086397	0.63419	-0.52086877	0.0116	-0.5627754	0.246
LOC107985435	0.42196194	0.438	1.5017553	0.01549	-0.25856462	0.596	-1.2201729	0.163
ADCY3	-0.10503853	0.438	-0.0259444	0.95451	0.16819465	0.255	0.3955952	0.163
VKORC1L1	0.05906463	0.438	0.0890752	0.6056	0.10380924	0.201	-0.1523201	0.426
C3orf85	0.13799333	0.438	-0.0031252	0.99601	-0.01270397	0.969	-0.5155141	0.257
UBQLN4	0.07965599	0.438	-0.1531661	0.40583	0.03641517	0.775	-0.0717632	0.815
CCR4	0.22443583	0.438	0.6514418	0.06822	0.68127638	0.0027	1.7860137	3.08e-07
TPRG1-AS2	-0.19459129	0.438	-0.3222042	0.5514	-0.32586175	0.109	-0.4004619	0.429
LAMTOR4	-0.1016712	0.438	-0.0392166	0.91964	0.22348149	0.15	-0.1654138	0.645
TTPA	0.10366335	0.438	-0.0244291	0.95985	-0.0202527	0.927	-0.2653684	0.458
AKR1C2	0.2242046	0.438	0.2063747	0.77576	0.29714103	0.265	-0.2182083	0.774
LIPA	0.14446469	0.438	0.1591399	0.76334	0.2561362	0.222	0.4534654	0.369
STX5	0.08814016	0.438	0.0049695	0.99119	0.09316254	0.406	0.0824244	0.808
LOC107984438	-0.1290141	0.438	-0.0551158	0.90613	-0.18997359	0.229	-0.2667195	0.522
GTF2A1-AS1	-0.14837509	0.438	-0.0182891	0.9808	-0.08367214	0.694	-0.2927778	0.556
ZNF19	-0.08399022	0.438	-0.1603354	0.46984	-0.30489373	0.00124	-0.2713988	0.263
LGALS9	0.16682637	0.438	0.2507301	0.47271	0.44750384	0.0196	0.8353901	0.0254
GPR83	-0.42525183	0.438	8.71e-05	0.99987	0.53193263	0.237	-0.1380586	0.932
PEX5L	-0.20051086	0.438	-0.1842986	0.80365	-0.40913026	0.113	-0.4199173	0.591
HRG	-0.10942546	0.439	-0.0356054	0.94515	0.08507289	0.623	-0.2513985	0.522
FDXACB1	0.12167574	0.439	0.0512182	0.90413	0.10548157	0.438	0.3899788	0.185
PTPN14	-0.20449955	0.439	-0.1238483	0.88345	0.14800674	0.629	0.5948347	0.447
SPAAR	-0.21137542	0.439	-0.1551809	0.8282	0.43437896	0.0549	0.2296071	0.748
ATG9B	0.14735793	0.439	0.00873	0.99095	0.23020087	0.191	0.1646335	0.759
CSNK1A1P1	-0.22409648	0.439	-0.2666837	0.71539	0.44024141	0.278	-0.3967112	0.579
GPR155-DT	-0.19898378	0.439	0.0068156	0.99385	0.06914964	0.817	-0.5211036	0.451
CYP2U1	0.11478725	0.439	0.0370635	0.91291	-0.14750168	0.133	0.0964054	0.776
B3GNT2	0.10342586	0.439	0.0002359	0.99952	0.02709093	0.869	-0.0508456	0.921
RCN1	0.10151276	0.439	-0.0239093	0.95604	0.18461117	0.126	0.4823721	0.0761
PKP4-AS1	0.12204393	0.439	0.046622	0.91156	-0.07003527	0.689	0.0850265	0.839
LOC102724120	0.20790428	0.439	0.1694557	0.81305	-0.12622156	0.677	-0.2032734	0.814
LYRM9	-0.09388035	0.439	-0.0115115	0.98095	-0.15354145	0.145	-0.272192	0.37
TUFT1	-0.12519279	0.44	-0.186867	0.61245	-0.16056047	0.368	0.2509466	0.58
CDC42SE1	0.06558215	0.44	0.1646571	0.28874	0.34459933	0.00179	0.4622405	0.0089
LOC105378781	-0.12848234	0.44	-0.2237133	0.46274	-0.31839361	0.0547	-0.2671875	0.421
TSPAN3	0.1553697	0.44	-0.0450047	0.94998	0.13240185	0.505	0.2299156	0.712
SMG7	0.0893419	0.44	-0.1799457	0.337	0.15106373	0.173	-0.2325148	0.362
NEB	0.2992403	0.44	0.1430701	0.90099	0.69407748	0.063	0.554116	0.56
SEC16A	0.12970674	0.44	-0.1156206	0.77642	0.17536724	0.321	-0.1901247	0.682
CD69	0.23748469	0.44	0.7674973	0.02743	0.76252666	0.00213	1.3695574	0.00283
MED24	-0.06298326	0.44	-0.1216796	0.49303	-0.10937591	0.192	-0.1999953	0.332
MLIP	0.44581887	0.44	-0.6369463	0.67595	0.59212004	0.224	-1.0524481	0.462
LOC105375587	-0.20365348	0.44	-0.204165	0.72386	-0.26488827	0.338	-1.2221053	0.0171
TFIP11-DT	-0.16094146	0.44	0.0206072	0.98057	-0.38251998	0.0593	0.0256619	0.974
ADAMTS9-AS2	-0.20095447	0.44	-0.1206433	0.86713	0.18482568	0.477	0.1220244	0.88
ANKRD10	0.04294326	0.44	0.0401477	0.72227	-0.14174272	0.194	0.1498129	0.188
THAP5	0.07954397	0.44	0.0814452	0.73731	0.13473545	0.188	0.144346	0.555
ATP1A1-AS1	-0.06188685	0.441	0.1249933	0.43428	0.25212469	0.0129	0.3277384	0.0538
DNASE1L2	-0.23729183	0.441	-0.2145059	0.77404	-0.13353586	0.664	-1.576811	0.0543
LOC730183	-0.17098059	0.441	-0.4075101	0.32897	-0.13606286	0.592	-0.7885234	0.154
LOC107984669	0.21163453	0.441	0.1816757	0.78474	0.28127024	0.268	0.7303423	0.16
LOC102723323	0.33617368	0.441	0.1977149	0.87763	-0.1580025	0.723	-0.5452902	0.661
RPS19	-0.11977269	0.441	0.0991155	0.7669	0.51433244	0.0102	0.0570241	0.896
SMIM2	-0.21577074	0.441	-0.1159642	0.89712	-0.39566603	0.184	-1.050264	0.138
KLHL23	0.10456883	0.441	-0.0708256	0.84449	-0.02305372	0.861	-0.0056485	0.991
