Symbol	Steatosis_1_vs_control	Steatosis_1_vs_control_pvalue	Steatosis_2_vs_control	Steatosis_2_vs_control_pvalue	Steatosis_3_vs_control	Steatosis_3_vs_control_pvalue
FEZ1	0.3222542	0.33	0.2798777	0.348	0.54194274	0.124
LOC105371362	-0.3850968	0.33	-0.45855509		-0.39083406	0.422
INTU	-0.233895	0.33	-0.18350857	0.384	-0.26004315	0.247
LOC105370612	-0.444419	0.33	-0.40628916	0.335	-0.41953547	0.295
STX5	0.1477824	0.33	0.21055247	0.141	0.25554034	0.0157
IP6K2	0.1383969	0.33	0.13801136	0.281	0.2214801	0.154
LY75	0.3189566	0.331	0.30254619	0.265	0.38902834	0.253
METTL27	-0.4909268	0.331	-0.35136959	0.417	-0.5654611	0.2
PABPC1	-0.2400184	0.331	-0.12980954	0.635	-0.0526953	0.857
GIPC1	0.2397575	0.331	0.42042374	0.0257	0.50251325	0.0145
LINC02728	-0.2689243	0.331	-0.22686608	0.437	-0.38458483	0.221
AUP1	0.1164508	0.331	0.10897956	0.306	0.1902773	0.312
MOB3B	-0.3386084	0.331	-0.21232483	0.63	-0.58773003	0.0246
LOC105379841	-0.4514823	0.331				
LOC105376332	-0.3961913	0.331	-0.1055766		-0.27920777	0.547
RBBP9	0.1773707	0.331	0.24965027	0.183	0.32833945	0.0472
KLHDC7B	0.7649806	0.332	0.61033707			
KCNJ13	-0.1195363	0.332	-0.16681437	0.163	-0.28437653	0.181
NRBP1	0.0947446	0.332	0.10344431	0.206	0.16927982	0.142
ARHGEF34P	-0.3738477	0.332	-0.17259776	0.59	-0.32690839	0.293
CCND3	0.2667822	0.332	0.39556066	0.0887	0.3858566	0.167
GSTO1	-0.1705195	0.332	0.00897255	0.975	0.27749177	0.454
PSTPIP2	0.2904115	0.332	0.17630628	0.427	0.12399113	0.622
SNORD159	0.7361168	0.332	1.07015837	0.137	0.43772757	0.487
LINC01780	-0.3395882	0.332	-0.35217532	0.292	-0.71154443	0.00942
LINC01347	-0.2533	0.332	-0.19972965	0.349	-0.18282319	0.527
VIPAS39	0.0838028	0.332	0.08777499	0.238	0.04268271	0.723
VAT1	0.1607337	0.332	0.09321072	0.521	0.11386243	0.448
SLC6A8	0.8754321	0.332	0.05437269	0.939	0.05445219	0.925
SLC27A2	0.2647391	0.332	0.17442668	0.468	0.3307471	0.163
SNORD20	-0.4669588	0.332	-0.3489007		-0.32766514	0.53
SNORD50B	-0.3329393	0.332	-0.28610042	0.383	-0.19134924	0.616
USP50	-0.1922795	0.332	-0.12295805	0.485	-0.15244807	0.513
ZNF175	-0.1279663	0.332	-0.14976125	0.0728	-0.22615978	0.0259
ARMC12	-0.4493169	0.333	-0.42012407		-0.46743615	0.394
RCC1L	0.1908859	0.333	0.11714707	0.422	0.07139728	0.716
LOC105375469	-0.3176326	0.333	-0.33113843	0.265	-0.40547085	0.247
HIPK2	-0.2150195	0.333	-0.22175359	0.167	-0.20603534	0.341
GNPNAT1	-0.2342523	0.333	-0.18399692	0.386	-0.1350938	0.521
IVD	-0.1914245	0.333	-0.18091417	0.367	-0.24270716	0.126
SETD1A	-0.2336758	0.333	-0.28942577	0.0625	-0.12050451	0.693
MFAP4	0.4919512	0.333	0.43248425	0.429	0.31408806	0.574
KRT19	-0.9562124	0.333	-1.36706147	0.115	-1.63564437	0.0658
FUT1	0.3319711	0.333	0.25108704	0.425	0.2074197	0.53
GUSBP11	-0.1411865	0.333	-0.22440812	0.0335	-0.22374446	0.284
PES1	0.1419197	0.333	0.11320766	0.269	0.09217265	0.471
CHKB-CPT1B	0.2453948	0.333	0.0482038	0.736	0.04567158	0.766
MIR10399	0.2949972	0.333	0.33895886	0.196	0.43788545	0.148
GBP2	0.2123778	0.333	0.15367137	0.402	0.15868079	0.475
CHTOP	0.1159096	0.333	0.07569695	0.334	0.0722191	0.533
DLEC1	-0.2018259	0.333	-0.17854465	0.547	0.0898821	0.715
LOC105376105	-0.9965242	0.333	-0.62443231	0.579	-0.84655147	0.477
GOLGA2	0.1386555	0.333	0.06364453	0.679	0.05137621	0.824
PALS1	-0.1284062	0.333	-0.11643638	0.285	-0.14233507	0.152
ATF7IP2	-0.2776576	0.333	-0.30720776	0.2	-0.40719913	0.113
KIZ-AS1	-0.2360667	0.333	-0.27350384	0.229	-0.35184251	0.184
LOC105376956	-0.3624557	0.333	-0.4835624		-0.38190552	0.419
RNF13	-0.1326623	0.333	-0.07249879	0.55	-0.03988965	0.874
ZFTRAF1	0.1572055	0.333	0.1166964	0.433	0.23055907	0.0683
IFFO2	0.225157	0.333	0.06682405	0.708	0.20656236	0.311
FAM234B	0.1855752	0.333	0.18113703	0.214	0.10288294	0.631
LOC100652999	-0.2477537	0.334	-0.12542013	0.637	-0.24413659	0.36
PIP4K2C	0.1267899	0.334	0.20680979	0.0503	0.22366255	0.127
LOC105370721	-0.6959803	0.334	-0.88618161	0.115	-0.88937551	0.219
TMEFF2	0.6681797	0.334	0.14154543	0.8	0.40657136	0.419
GCSHP3	-0.1941783	0.334	-0.14167785	0.337	-0.16036812	0.359
LOC101929160	0.2393371	0.334	0.12292457	0.625	0.10442237	0.735
GGTLC3	0.5593165	0.334				
LOC105371075	1.3114158	0.334	1.0111128			
IFI27L2	0.3954051	0.334	0.60323284	0.228	0.99506622	0.13
NCAPH2	0.1308569	0.334	0.15096565	0.254	0.19147583	0.226
RNVU1-18	-0.7158724	0.334	-0.6081543	0.279	-0.30086363	0.647
NUP37	0.1339943	0.334	0.19600133	0.11	0.25067188	0.11
LOC105378776	-0.8823689	0.335	-0.86344696		-0.74911582	0.477
LINC01320	-0.6855317	0.335	-0.31069202	0.723	-0.36918123	0.759
CCR1	0.4164125	0.335	0.49966721	0.0372	0.56359063	0.15
GDNF-AS1	-0.7388742	0.335				
APOM	-0.1859652	0.335	-0.08224823	0.755	0.25761322	0.625
LOC105375038	-0.6979684	0.335	-0.74155227		0.44136415	0.579
LOC105375244	-0.1869413	0.335	-0.2391827	0.24	-0.37309706	0.0723
IL10RA	0.2760863	0.335	0.22427972	0.255	0.22581263	0.455
TINF2	0.1067022	0.335	0.11559649	0.165	0.14404848	0.263
PSMB10	0.2524717	0.335	0.25491982	0.0913	0.34168023	0.11
B3GNT3	-0.9247859	0.335	-0.84616656	0.463	-1.37128042	0.119
KCTD15	0.3803271	0.335	0.49798471	0.0413	0.23254238	0.416
STX16	-0.2430959	0.335	-0.15730979	0.556	-0.01449478	0.969
LOC105373134	-0.2207529	0.335	-0.19719513	0.365	-0.16964608	0.423
VSIG4	0.4502112	0.335	0.58880496	0.068	0.45936119	0.435
IL1RAPL2	-0.4707559	0.335	-0.52523549	0.235	-0.80718222	0.0482
C19orf44	-0.2056821	0.335	-0.23413626	0.0915	-0.22640261	0.217
NME9	0.1327212	0.335	0.08943429	0.474	0.02981597	0.902
RNF39	-0.1928734	0.335	-0.05344468	0.795	0.00178539	0.996
ZNF385B	-0.1799521	0.335	-0.24149318	0.407	-0.09209879	0.619
NDUFAF1	0.1327037	0.335	0.11556187	0.509	0.29648344	0.133
RNF111	-0.0892628	0.335	-0.10211984	0.191	-0.11134229	0.239
AKIRIN1	0.2267356	0.335	0.30212464	0.0972	0.29476042	0.126
CDC42EP3	-0.2664566	0.335	-0.13264815	0.621	-0.27724243	0.216
PPP1R3G	-0.3576729	0.335	-0.3877346	0.416	-0.65078535	0.054
TRAF6	-0.0884748	0.335	-0.03230853	0.714	-0.11687957	0.175
PRAMENP	0.743857	0.335	0.61491697	0.281	0.66734257	0.238
POM121C	-0.23243	0.335	-0.181613	0.34	-0.07007674	0.809
POLN	-0.1759422	0.335	-0.10073588	0.579	-0.19951053	0.353
SPOUT1	-0.1630931	0.335	-0.13418327	0.448	-0.22936781	0.0411
GTF2IRD2B	-0.1524081	0.335	-0.22027378	0.1	-0.28652032	0.0223
OXER1	-0.3787247	0.335	-0.35434859	0.33	-0.31381085	0.423
PGM2L1	0.2880074	0.335	0.20651546	0.432	0.10902058	0.713
LOC105369309	0.3850314	0.336	0.34821644	0.368	0.5813302	0.129
BAHD1	-0.1740025	0.336	-0.13030482	0.355	-0.03074716	0.905
ALDH4A1	0.1633535	0.336	0.13092054	0.439	0.12711851	0.47
NID1	-0.1642482	0.336	-0.0765559	0.66	-0.1326391	0.485
SAMD13	0.7053564	0.336	0.55273838			
AP1S3	0.3925216	0.336	0.44402209	0.251	0.59313696	0.0714
SMG1-DT	-0.3744688	0.336	-0.40406612		-0.31376105	0.423
PSMD8	0.1558594	0.336	0.19916569	0.0633	0.36272769	0.189
GMFG	0.2687394	0.336	0.35978356	0.0979	0.68362477	0.112
LOC105378833	0.3964503	0.336	0.10751128	0.799	0.12699482	0.814
LOC105371632	-0.4759797	0.336	-0.26515295	0.612	-0.73129452	0.142
UNC50	0.1177103	0.336	0.17587818	0.0175	0.25395312	0.153
UMPS	-0.1012074	0.336	-0.04313714	0.706	-0.07641993	0.433
KATNBL1P6	0.3107704	0.336	0.31931832	0.237	0.2543895	0.457
LINC01817	-0.453842	0.336	-0.57023474	0.149	-1.11364424	0.013
ANAPC1P2	-0.1538565	0.336	-0.1056522	0.57	-0.29071175	0.0831
MBL2	-0.51308	0.336	-0.47777452	0.219	-0.52092176	0.195
MYL12-AS1	0.3342778	0.336	0.24299341	0.194	0.36224925	0.167
LOC102724197	0.4825367	0.336	0.46513247	0.267	0.63016785	0.25
SUPT5H	0.116376	0.336	0.0733535	0.578	0.079765	0.653
LOC107986299	-0.2879047	0.337	-0.42043859	0.11	-0.50921844	0.132
MST1L	0.2558053	0.337	0.24274413	0.396	0.13279688	0.649
CUL4B	-0.10137	0.337	-0.0261024	0.873	-0.07813463	0.405
LOC107985221	-0.4094384	0.337	-0.46346251	0.253	-0.82807063	0.0951
KCNJ8	-0.2263191	0.337	-0.16989364	0.495	0.00300947	0.994
SCOC	0.1658778	0.337	0.3258111	0.0249	0.4187189	0.0714
ZNF483	-0.1558992	0.338	-0.15193492	0.273	-0.22336878	0.209
TSLP	-0.2705006	0.338	-0.18023157	0.495	-0.06573137	0.893
LYSET	0.1783813	0.338	0.28369908	0.0525	0.46836652	0.134
DUS4L-BCAP29	0.1421639	0.338	0.21706436	0.0691	0.26073167	0.114
CYP1B1	0.3067331	0.338	0.27846229	0.481	0.2231881	0.332
MALL	0.4595486	0.338	0.33464936	0.495	0.37503005	0.389
ACOT12	0.2852943	0.338	0.26994001	0.398	0.57272645	0.0201
LOC107986454	-0.5150696	0.338	-0.6600564	0.118	-0.42745039	0.502
MGAM	0.5267666	0.338	0.63797617	0.198	0.67411511	0.152
ZNF576	0.1397116	0.338	0.10075094	0.546	0.20821162	0.182
SLC8A1	0.2408572	0.338	0.31345543	0.112	0.19910822	0.31
HHIP	-0.318714	0.338	-0.14169489	0.645	-0.2524875	0.37
ZBTB11-AS1	-0.1587075	0.339	-0.16253927	0.226	-0.18046937	0.223
LOC105379280	-0.5346206	0.339	-0.09277825	0.856	-0.62217279	0.226
PHKA1	0.518727	0.339	0.04565572	0.882	0.02793048	0.94
LOC105373623	-0.2766884	0.339	-0.26458177	0.182	-0.27259189	0.485
IRF1	0.2349666	0.339	0.25181531	0.0665	0.32165746	0.0597
LOC105373709	0.8936781	0.339	1.1489729		0.77083442	0.399
CCDC73	-0.1738696	0.339	-0.13732264	0.347	-0.08986585	0.663
HMOX2	0.2162462	0.339	0.24031984	0.228	0.33127642	0.146
UFD1	0.1469596	0.339	0.18286126	0.12	0.34189307	0.0311
CTSK	0.3616968	0.339	0.36213711	0.341	0.22648378	0.331
ABCA9	-0.2762622	0.339	-0.25199431	0.224	-0.2673865	0.191
VIL1	-0.7384087	0.339	-0.52903222	0.539	-1.07701605	0.086
LOC107986838	0.3746079	0.339	0.33689192	0.349	0.40696492	0.22
GNG12-AS1	-0.2233092	0.339	-0.16084508	0.442	-0.26638053	0.179
LOC102724416	0.5547924	0.339	0.79655848	0.105	0.72639842	0.0907
LOC105373030	0.4826259	0.339	0.38687429	0.453	0.26076531	0.664
TMEM120B	0.1853688	0.339	0.07901548	0.66	0.05988931	0.763
DGCR6L	-0.1987848	0.339	-0.19998485	0.306	0.06360237	0.874
CATSPERE	-0.1747608	0.339	-0.16379257	0.422	-0.21197776	0.344
RAB5A	0.1078894	0.339	0.13488633	0.155	0.23135774	0.0893
SUCLG2-DT	-0.1786152	0.339	-0.16040085	0.32	-0.15972404	0.442
LOC112268015	0.4617007	0.339	0.48113072	0.262	0.47659991	0.33
CD63-AS1	0.2324603	0.339	0.25718283	0.185	0.19574148	0.485
HNF1A	-0.1801841	0.339	-0.2235853	0.282	-0.2578059	0.283
LINC00412	-0.4221087	0.339	-0.22390983	0.594	-0.77868864	0.0598
KATNAL1	0.139204	0.339	0.2050678	0.25	0.101744	0.594
KCTD1	0.1998398	0.339	0.28245239	0.121	0.2933848	0.194
MIR513A1	0.5907315	0.339	0.69258165			
DPH6	-0.1193414	0.339	-0.0809076	0.509	-0.24058354	0.0359
SLC39A10	0.2342983	0.34	0.30636892	0.188	0.29186131	0.113
SETDB2	-0.1510555	0.34	-0.17291947	0.276	-0.24039735	0.127
AFTPH	0.0993907	0.34	0.09308728	0.12	0.05155137	0.502
EIF4E3	0.2467917	0.34	0.22818655	0.285	0.35429323	0.0598
RNY5	0.606713	0.34	0.66056286		0.83156236	0.0922
LINC00842	0.836967	0.34	0.20212061		0.2801	0.732
EMC4	0.1186507	0.34	0.14588614	0.215	0.29504204	0.22
NOMO1	0.1535464	0.34	0.16650249	0.184	0.17991363	0.364
ZNF551	-0.1540737	0.34	-0.20702525	0.159	-0.34215088	0.055
ZZZ3	-0.105034	0.34	-0.09664056	0.386	-0.2048754	0.0573
PDGFRA	0.3019611	0.34	0.30619077	0.447	0.14623852	0.674
LUC7L2	-0.1100728	0.34	-0.15341169	0.246	-0.22691171	0.251
FBXL6	0.2040746	0.34	0.16636118	0.467	0.28295497	0.193
LOC102724102	0.6013462	0.34				
RGS3	0.2038226	0.34	0.20996436	0.408	0.29318885	0.126
NPIPB3	-0.2417851	0.34	-0.32528886	0.0733	-0.08298401	0.826
PIR	0.2295728	0.34	0.30499153	0.182	0.38204955	0.113
FRY-AS1	0.3342976	0.34	0.15178921	0.664	0.3935178	0.258
PAK4	-0.1562005	0.34	-0.17544556	0.258	-0.14433267	0.532
SELENOP	-0.1681502	0.34	-0.0967692	0.676	-0.04278918	0.893
LOC101929918	-0.4307981	0.34	-0.3538255	0.305	-0.18442911	0.674
ACTG1P17	-0.4078601	0.34	-0.5099618		-0.63077008	0.11
LOC112268272	-0.2777242	0.34	-0.16141338	0.45	-0.33679052	0.225
GATA5	0.5362626	0.34	0.27892088			
SIK2	-0.1418588	0.34	-0.08851048	0.659	-0.23731526	0.138
APOBEC3B	0.5381733	0.34	0.81087738		0.97172979	0.172
AOC2	-0.2437303	0.34	-0.19943673	0.375	-0.40212359	0.215
BCL10	0.1425837	0.34	0.21175817	0.172	0.30722561	0.157
H3-3B	0.1349158	0.341	0.21412955	0.0494	0.14824232	0.302
LMNTD2	-0.2174189	0.341	-0.294839	0.166	-0.18820422	0.357
F11	-0.2095755	0.341	-0.20208509	0.404	-0.23989265	0.212
CD2BP2	0.1119948	0.341	0.06049986	0.585	0.08525166	0.489
GPR157	0.2285862	0.341	0.14860839	0.261	0.12628243	0.565
HEY2	-0.2268527	0.341	-0.25984423	0.289	-0.38362988	0.0247
XPNPEP3	-0.1245238	0.341	-0.08647208	0.425	-0.11752581	0.241
ND2	-0.3473754	0.341	-0.15881202	0.7	0.08571363	0.884
LOC107986998	0.2607733	0.341	0.19497883	0.464	0.19353081	0.518
EOLA2	-0.1219484	0.341	-0.06130372	0.618	-0.01253335	0.943
MAPK7	0.2325777	0.341	0.2185622	0.449	0.33875185	0.261
FILIP1L	0.686868	0.342	0.1110213	0.811	-0.21945485	0.407
NXF3	0.4052025	0.342	0.28635213	0.532	0.51632432	0.275
LOC105379566	-0.3754056	0.342	-0.25990074	0.586	-0.28983939	0.6
ITGB2	0.3368226	0.342	0.47119768	0.0924	0.59815861	0.0424
LINC02702	0.6574398	0.342	-0.07042522	0.944	-0.26559195	0.772
CCDC124	0.1544713	0.342	0.13568554	0.485	0.33390291	0.151
BSDC1	0.1239617	0.342	0.11269843	0.356	0.1869978	0.0353
FKBP2	-0.1442291	0.342	-0.07875435	0.694	0.11853557	0.652
PRDX1	0.1623553	0.342	0.27828329	0.0525	0.37813548	0.13
LINC02250	-0.2372041	0.342	-0.39790576	0.2	-0.48141829	0.126
RPS15A	-0.1698936	0.342	-0.02354837	0.924	0.30091462	0.561
EDEM2	0.1304012	0.342	0.18978674	0.0774	0.20026278	0.226
DOCK6	0.2083702	0.342	0.08393704	0.678	0.13957158	0.639
FCRL3	-0.4888339	0.342	-0.39818417	0.358	-0.10812341	0.886
LOC107986265	0.1601513	0.342	0.29234241	0.0168	0.291547	0.141
WWC2-AS1	-0.3654173	0.342	-0.37771641		-0.57591448	0.196
LOC107986486	-0.3896883	0.342	-0.25545586		-0.01974842	0.977
SCML2	0.2596846	0.342	0.30221423	0.246	0.36668051	0.121
SYT1	-0.3395267	0.342	-0.19771969	0.572	-0.34822799	0.221
CAPRIN2	-0.1058666	0.343	-0.12067417	0.207	-0.09769812	0.387
ARPP19	0.1420266	0.343	0.16507628	0.186	0.18292384	0.174
TIMELESS	-0.1416804	0.343	-0.12356048	0.488	-0.05994117	0.759
MED8	0.1353066	0.343	0.15821499	0.17	0.2201046	0.11
ADM	0.2689324	0.343	0.31054326	0.035	0.3759924	0.0663
ZBTB22	0.1737241	0.343	0.17515916	0.171	0.2983443	0.0953
FABP4	0.8880303	0.343	1.43411145	0.0348	2.32090002	0.00275
PPP1R3E	-0.1423668	0.343	-0.16188998	0.264	-0.13502437	0.483
IGLV3-1	0.7797778	0.343	1.09090809	0.119	0.72229723	0.406
RTKN	0.2007557	0.343	0.20270773	0.157	0.20898322	0.191
PDE8B	-0.169966	0.344	-0.0661371	0.757	-0.14164456	0.523
H1-3	0.4358632	0.344	0.53955372	0.129	0.6331137	0.211
MMP14	0.2936735	0.344	0.20825654	0.262	0.35750474	0.146
TMEM229B	0.3221144	0.344	0.29914286	0.267	0.38361826	0.213
IL34	0.4016739	0.344	0.28861238	0.55	0.47156022	0.248
HDHD2	-0.0789018	0.344	-0.03316099	0.714	-0.04991444	0.523
IGLV10-54	1.2113418	0.344	1.30970147			
LOC102724956	-0.3832173	0.344	-0.47744479		-0.31051487	0.446
SERTAD1	0.2376928	0.344	0.46196233	0.0675	0.55927627	0.0582
TBC1D3L	-0.287361	0.344	-0.21064265	0.504	-0.22615316	0.521
CRK	0.1225967	0.344	0.16665257	0.0735	0.14421431	0.259
LOC100507389	0.530398	0.344	0.32183212	0.53	0.28227172	0.497
ADAM20P1	0.254009	0.344	0.16979435	0.523	0.0618501	0.858
ITIH4-AS1	-0.2013677	0.344	-0.32421784	0.155	-0.52188928	0.0353
CENPW	0.4181275	0.344	0.58869605		0.81839832	0.0318
KRT18	0.3082946	0.344	0.51127758	0.065	0.75327277	0.00619
MYO5A	0.2664399	0.344	0.28272771	0.39	0.30719248	0.317
RPN2	0.1281478	0.344	0.17356401	0.0406	0.1547292	0.224
BUB1	0.5096797	0.344	0.88017831	0.106	1.09135941	0.0607
NRSN1	-0.5085921	0.344	-0.10312098	0.906	-0.25826111	0.641
LRRC14	0.1745664	0.344	0.0983836	0.449	0.0739999	0.611
MTRNR2L1	-2.0271199	0.344	-1.62907202	0.422	-0.80602596	0.739
GRIPAP1	0.0991692	0.344	0.04316418	0.831	0.08182	0.767
LRIG1	-0.3051368	0.344	-0.49201961	0.0712	-0.49567464	0.145
PARD6G	-0.2204034	0.344	-0.16334744	0.456	-0.14863362	0.557
LENG8-AS1	-0.205815	0.344	-0.33009731	0.147	-0.49719159	0.0782
NUP50-DT	-0.2130434	0.344	0.00695826	0.979	0.00277091	0.994
ABCC2	-0.1918227	0.344	-0.17038029	0.368	-0.21806665	0.263
STRC	-0.4226958	0.344	-0.29106294	0.551	-0.4491698	0.456
HHAT	0.2041677	0.344	0.11864441	0.469	0.12491634	0.577
HTR6	-0.4068032	0.345	-0.65194819		-0.85690205	0.043
NAALADL2	-0.1940035	0.345	-0.1869703	0.229	-0.27943757	0.0157
DFFB	-0.3880323	0.345	-0.52224133	0.0954	-0.53362581	0.158
CDHR3	-0.346141	0.345	-0.31157657	0.373	-0.29753799	0.491
ARL17A	0.328649	0.345	0.23870751	0.389	0.09650819	0.825
STRADA	0.1064868	0.345	0.09742529	0.28	0.10877452	0.437
C9orf78	0.1127145	0.345	0.08962619	0.45	0.16579521	0.129
ZNF146	0.0969585	0.345	0.07552305	0.449	0.01470623	0.897
LOC105372997	0.4985847	0.345	0.67733816	0.231	0.55693323	0.322
TSACC	0.3244036	0.345	0.20011004	0.575	0.14483858	0.715
CAMSAP2	0.2466841	0.345	0.15505141	0.338	0.09173659	0.351
FBXL2	0.1652331	0.345	0.15239159	0.439	0.12332955	0.6
ZNF654	-0.1203023	0.345	-0.06588289	0.593	-0.13012894	0.0952
MED28	-0.1105491	0.345	-0.14728818	0.0765	-0.21837103	0.0555
SMIM14	-0.1808255	0.345	-0.13769735	0.5	-0.21281111	0.07
GAPT	0.4814304	0.345	0.8352279	0.111	0.70978989	0.0916
OR2A9P	-0.3464013	0.345	-0.22625113	0.468	-0.50633699	0.101
ADAMDEC1	1.2202358	0.345	1.47445971		1.76522002	0.0548
PDCD1LG2	0.2956554	0.345	0.26579715	0.261	0.24725927	0.445
N6AMT1	-0.1408959	0.345	-0.08059353	0.632	-0.14126667	0.34
FGFBP3	-0.4067239	0.345	-0.33485324		-0.18782064	0.674
CHRDL2	-0.6269245	0.345	0.06307139	0.948	0.03231227	0.978
CALM3	0.1304345	0.345	0.1279998	0.282	0.16525281	0.284
LUC7L3	-0.104568	0.345	-0.13669289	0.154	-0.20930263	0.168
LOC101928068	-0.3177268	0.345	-0.22382731	0.468	-0.15819581	0.722
RTCA	0.0954531	0.345	0.15482326	0.0903	0.11223876	0.292
ANKS1A	-0.1348546	0.345	-0.1562749	0.184	-0.34719716	0.0103
MNDA	0.3402182	0.345	0.60571927	0.0451	0.6471908	0.0363
RNF32-DT	-0.2578784	0.345	-0.29179905	0.17	-0.29673873	0.238
TM6SF1	0.4675565	0.345	0.34205528	0.372	0.16425714	0.602
ACTG1	0.2482605	0.346	0.43126708	0.114	0.26275979	0.369
AFG3L2	0.140965	0.346	0.09411651	0.425	0.05718931	0.792
ZNF197	-0.0942021	0.346	-0.05999045	0.547	-0.1358143	0.242
LOC105372989	-0.2182416	0.346	-0.25195445	0.274	-0.35948463	0.0571
STAMBP	0.0697253	0.347	0.08674605	0.236	0.09899281	0.274
NIPA2	0.134099	0.347	0.18376175	0.0757	0.20446944	0.143
TSNARE1	-0.2109158	0.347	-0.33660738	0.0573	-0.21827978	0.4
NAB1	-0.1444229	0.347	-0.09807379	0.481	-0.12871451	0.178
PTGES2	0.1881478	0.347	0.19476219	0.22	0.24838428	0.203
SRPRA	0.126489	0.347	0.15384202	0.33	0.17035996	0.308
VPS39-DT	-0.2300015	0.347	-0.26310121	0.227	-0.18158815	0.517
CARHSP1	-0.1633686	0.347	-0.17262577	0.29	-0.09262335	0.7
SNTA1	0.404196	0.347	0.09369862	0.629	0.16334584	0.333
IL1RN	-0.2723128	0.347	-0.12736774	0.632	-0.09173787	0.77
SCLY	-0.196454	0.347	-0.10541104	0.72	-0.13564188	0.492
MOGAT3	0.4781195	0.347	0.54506016	0.156	0.60563177	0.15
ACSM3	-0.2177685	0.347	-0.18082849	0.535	-0.12023545	0.653
NAGS	-0.2907391	0.347	-0.3765563	0.162	-0.31344773	0.221
YWHAQ	0.1049827	0.347	0.20306471	0.0687	0.21927515	0.172
ARMC2	-0.173114	0.347	-0.12800279	0.443	-0.08828603	0.684
SIPA1	0.2575389	0.347	0.1813327	0.188	0.17718644	0.188
LOC101929285	-0.2484193	0.347	-0.22393768	0.386	-0.32058535	0.244
ADGRF5-AS1	-0.4064844	0.347	-0.43760833		-0.72655756	0.151
FIGNL1	0.1873836	0.347	0.10391787	0.608	0.23233606	0.215
MKLN1	-0.1227319	0.347	-0.10352734	0.309	-0.13855039	0.246
USP35	0.2768078	0.347	0.35209217	0.113	0.34089601	0.259
LOC105370447	0.1551319	0.347	0.2395233	0.0815	0.17993204	0.388
UBFD1	0.1127215	0.347	0.09922089	0.233	0.05035494	0.77
GIT1	0.1644091	0.347	0.11522757	0.462	0.11673678	0.505
LOC105371933	0.4896425	0.347	0.23358847		0.39096892	0.527
RNA28SN3	-0.4704985	0.347	1.60438371	0.162	0.74957612	0.449
NUP50	-0.0999295	0.347	-0.03732831	0.709	-0.09620622	0.417
KCTD13-DT	-0.3424693	0.347	-0.5034293	0.068	-0.50606522	0.224
MCPH1-DT	0.2888901	0.347	0.28787083	0.355	0.27202835	0.471
COMMD9	0.1182872	0.347	0.1710218	0.107	0.33122204	0.17
TPSAB1	0.8102726	0.347	0.69483801	0.33	0.58435357	0.508
GPN3	-0.1738468	0.347	-0.06019743	0.733	-0.05110818	0.872
ZCCHC17	0.1916621	0.347	0.20042801	0.0677	0.21512332	0.169
UBAP2L	-0.0766861	0.347	-0.0794158	0.351	-0.1327151	0.238
PCLO	0.7564479	0.347	0.92468204	0.301	1.01258385	0.275
FBXO10	0.2071938	0.347	0.14331721	0.23	0.13595505	0.312
ZNG1F	0.1495987	0.347	0.17178303	0.15	0.27107666	0.0723
RPS25	-0.1571495	0.347	-0.09144854	0.628	0.15381975	0.743
GNA13	0.1585716	0.347	0.22090387	0.13	0.18752569	0.0716
TMEM104	0.2111139	0.347	0.28887168	0.133	0.32418999	0.0558
SLC25A44	0.1643725	0.347	0.25838127	0.071	0.18190817	0.287
SKAP2	0.1552805	0.347	0.19689597	0.37	0.25751879	0.126
SREBF2-AS1	0.2705303	0.347	0.3103757	0.343	0.23505337	0.398
SCNM1	0.2481505	0.347	0.16443355	0.357	0.19761249	0.398
SCAND1	-0.2215508	0.348	-0.24923061	0.266	0.07930006	0.848
HLA-G	0.6205915	0.348	0.68982376	0.041	0.03805995	0.958
BMT2	0.1736326	0.348	0.17980543	0.234	0.14100552	0.296
TSPAN31	0.0998439	0.348	0.20398225	0.0568	0.21183568	0.333
LINC02453	-0.4382046	0.348	-0.71563069	0.0445	-0.5896331	0.152
SNORD58C	0.4342431	0.348	0.6516107		0.49445201	0.296
TGIF2-RAB5IF	0.21153	0.348	0.38926231	0.0833	0.59287471	0.058
RALGAPB	0.0670893	0.348	0.08290882	0.206	0.04040173	0.782
TSR2	0.1168676	0.348	0.12556957	0.169	0.10485357	0.384
LINC03014	0.4775684	0.348	0.48308965	0.275	0.62329653	0.0978
TPM3P9	-0.1865997	0.348	-0.18625926	0.356	-0.16226592	0.561
CEPT1	0.1429196	0.348	0.12494233	0.279	0.1802797	0.173
MCC	-0.1988713	0.348	-0.20924497	0.339	-0.35533719	0.214
BACE1	-0.1406912	0.348	-0.13970601	0.237	-0.11830459	0.279
LOC105370596	-0.2539707	0.348	-0.33868024	0.215	-0.390688	0.148
ZNF177	-0.2971645	0.348	-0.11311746	0.684	-0.29351982	0.32
CCL20	1.1207573	0.349	1.65749478	0.165	2.35601141	0.0303
LOC107984428	-0.2133296	0.349	-0.2625484	0.204	-0.2428564	0.332
CAMSAP3	-0.2133268	0.349	-0.25856249	0.209	-0.10756702	0.735
CEP250	-0.1755421	0.349	-0.31696982	0.0675	-0.33216751	0.233
LOC105369974	-0.1889134	0.349	-0.19173378	0.49	-0.34864169	0.167
AAAS	0.103172	0.349	0.1037847	0.302	0.23331614	0.0353
FKBP14	0.2114785	0.349	0.23128245	0.276	0.19678123	0.282
